Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.485,9098940.000,-88.147
-1.900,17.482,9100170.000,-88.141
-1.800,17.485,9100290.000,-88.154
-1.700,17.484,9101390.000,-88.136
-1.600,17.485,9100070.000,-88.166
-1.500,17.484,9102020.000,-88.160
-1.400,17.481,9101360.000,-88.154
-1.300,17.484,9100420.000,-88.157
-1.200,17.483,9099170.000,-88.157
-1.100,17.487,9100060.000,-88.153
-1.000,17.485,9098750.000,-88.158
-0.900,17.484,9100590.000,-88.157
-0.800,17.481,9100060.000,-88.149
-0.700,17.482,9100110.000,-88.158
-0.600,17.484,9099520.000,-88.153
-0.500,17.481,9097930.000,-88.144
-0.400,17.484,9098280.000,-88.168
-0.300,17.484,9097940.000,-88.166
-0.200,17.484,9100420.000,-88.150
-0.100,17.484,9102010.000,-88.163
0.000,17.484,9101000.000,-88.160
0.100,17.488,9096660.000,-88.156
0.200,17.486,9101700.000,-88.149
0.300,17.485,9100720.000,-88.157
0.400,17.480,9099570.000,-88.166
0.500,17.483,9099780.000,-88.148
0.600,17.479,9100480.000,-88.150
0.700,17.482,9099580.000,-88.150
0.800,17.483,9100770.000,-88.158
0.900,17.483,9098280.000,-88.158
1.000,17.480,9098520.000,-88.162
1.100,17.482,9099780.000,-88.151
1.200,17.483,9100940.000,-88.171
1.300,17.484,9101040.000,-88.153
1.400,17.486,9099740.000,-88.155
1.500,17.477,9097710.000,-88.154
1.600,17.483,9100310.000,-88.164
1.700,17.479,9100430.000,-88.157
1.800,17.481,9098370.000,-88.174
1.900,17.481,9099360.000,-88.141
2.000,17.487,9098990.000,-88.146
2.100,17.483,9099390.000,-88.155
2.200,17.484,9100440.000,-88.160
2.300,17.483,9100990.000,-88.150
2.400,17.477,9101330.000,-88.152
2.500,17.482,9098900.000,-88.157
2.600,17.482,9098730.000,-88.157
2.700,17.486,9098840.000,-88.148
2.800,17.483,9100560.000,-88.147
2.900,17.484,9100080.000,-88.170
3.000,17.482,9101150.000,-88.158
#,#,#,#
