Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,18.570,8528820.000,-85.391
-1.900,18.574,8527980.000,-85.391
-1.800,18.573,8529650.000,-85.384
-1.700,18.573,8528560.000,-85.390
-1.600,18.569,8530110.000,-85.392
-1.500,18.572,8529050.000,-85.386
-1.400,18.572,8530960.000,-85.386
-1.300,18.569,8529090.000,-85.389
-1.200,18.572,8532440.000,-85.396
-1.100,18.568,8530180.000,-85.420
-1.000,18.570,8533620.000,-85.404
-0.900,18.568,8531080.000,-85.410
-0.800,18.570,8532830.000,-85.402
-0.700,18.567,8533220.000,-85.411
-0.600,18.569,8532340.000,-85.415
-0.500,18.568,8531630.000,-85.424
-0.400,18.567,8532930.000,-85.424
-0.300,18.570,8532260.000,-85.423
-0.200,18.570,8533990.000,-85.413
-0.100,18.571,8531320.000,-85.404
0.000,18.576,8531990.000,-85.417
0.100,18.574,8532400.000,-85.410
0.200,18.571,8531330.000,-85.406
0.300,18.577,8530780.000,-85.425
0.400,18.578,8535020.000,-85.410
0.500,18.581,8533070.000,-85.402
0.600,18.581,8531320.000,-85.415
0.700,18.577,8533460.000,-85.427
0.800,18.580,8532560.000,-85.414
0.900,18.574,8532790.000,-85.424
1.000,18.581,8535350.000,-85.421
1.100,18.581,8533540.000,-85.407
1.200,18.582,8533900.000,-85.411
1.300,18.580,8534070.000,-85.405
1.400,18.580,8533860.000,-85.428
1.500,18.582,8534670.000,-85.422
1.600,18.581,8536650.000,-85.429
1.700,18.578,8535750.000,-85.417
1.800,18.581,8535700.000,-85.439
1.900,18.581,8534360.000,-85.441
2.000,18.578,8535080.000,-85.424
2.100,18.581,8534480.000,-85.438
2.200,18.581,8536420.000,-85.419
2.300,18.579,8535930.000,-85.435
2.400,18.582,8534320.000,-85.418
2.500,18.584,8532850.000,-85.433
2.600,18.586,8534920.000,-85.438
2.700,18.592,8535110.000,-85.435
2.800,18.594,8535950.000,-85.446
2.900,18.593,8538430.000,-85.448
3.000,18.599,8537780.000,-85.443
#,#,#,#
