Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.974,9961030.000,-88.303
-1.900,15.973,9958640.000,-88.309
-1.800,15.973,9961340.000,-88.307
-1.700,15.976,9961420.000,-88.312
-1.600,15.975,9962580.000,-88.316
-1.500,15.972,9963710.000,-88.310
-1.400,15.970,9961870.000,-88.305
-1.300,15.969,9964060.000,-88.315
-1.200,15.973,9962770.000,-88.302
-1.100,15.974,9961360.000,-88.302
-1.000,15.968,9963520.000,-88.307
-0.900,15.971,9965440.000,-88.296
-0.800,15.971,9963450.000,-88.308
-0.700,15.969,9963660.000,-88.311
-0.600,15.971,9962460.000,-88.311
-0.500,15.970,9962690.000,-88.308
-0.400,15.968,9962350.000,-88.317
-0.300,15.971,9962310.000,-88.330
-0.200,15.970,9962820.000,-88.315
-0.100,15.968,9963410.000,-88.298
0.000,15.972,9962080.000,-88.309
0.100,15.972,9961120.000,-88.307
0.200,15.974,9962440.000,-88.289
0.300,15.973,9960430.000,-88.301
0.400,15.967,9963270.000,-88.305
0.500,15.973,9962940.000,-88.289
0.600,15.971,9960780.000,-88.314
0.700,15.969,9959690.000,-88.311
0.800,15.967,9960180.000,-88.302
0.900,15.966,9960730.000,-88.312
1.000,15.972,9962450.000,-88.305
1.100,15.968,9961910.000,-88.293
1.200,15.967,9962150.000,-88.297
1.300,15.968,9963700.000,-88.292
1.400,15.967,9962170.000,-88.304
1.500,15.967,9963030.000,-88.318
1.600,15.965,9963080.000,-88.304
1.700,15.971,9962010.000,-88.305
1.800,15.967,9964030.000,-88.307
1.900,15.975,9963600.000,-88.299
2.000,15.971,9962910.000,-88.316
2.100,15.969,9963340.000,-88.308
2.200,15.970,9964320.000,-88.297
2.300,15.973,9961810.000,-88.323
2.400,15.971,9965120.000,-88.298
2.500,15.971,9962150.000,-88.305
2.600,15.970,9962280.000,-88.312
2.700,15.972,9961260.000,-88.310
2.800,15.975,9961390.000,-88.306
2.900,15.967,9965560.000,-88.314
3.000,15.971,9964530.000,-88.317
#,#,#,#
