Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.143,10510400.000,-88.329
-1.900,15.135,10510000.000,-88.340
-1.800,15.142,10512100.000,-88.332
-1.700,15.140,10512100.000,-88.342
-1.600,15.142,10510100.000,-88.307
-1.500,15.138,10512300.000,-88.317
-1.400,15.140,10509100.000,-88.330
-1.300,15.141,10510000.000,-88.325
-1.200,15.142,10511700.000,-88.317
-1.100,15.139,10510700.000,-88.317
-1.000,15.139,10511500.000,-88.314
-0.900,15.137,10511200.000,-88.321
-0.800,15.138,10510500.000,-88.326
-0.700,15.137,10511900.000,-88.321
-0.600,15.139,10510900.000,-88.321
-0.500,15.139,10511000.000,-88.330
-0.400,15.137,10510000.000,-88.302
-0.300,15.135,10508700.000,-88.318
-0.200,15.135,10508600.000,-88.316
-0.100,15.139,10510300.000,-88.333
0.000,15.136,10512400.000,-88.331
0.100,15.135,10512000.000,-88.322
0.200,15.139,10510800.000,-88.334
0.300,15.139,10508500.000,-88.330
0.400,15.138,10509600.000,-88.322
0.500,15.138,10511000.000,-88.343
0.600,15.138,10511000.000,-88.327
0.700,15.135,10509100.000,-88.335
0.800,15.140,10511200.000,-88.332
0.900,15.139,10510900.000,-88.312
1.000,15.141,10507500.000,-88.335
1.100,15.139,10510900.000,-88.332
1.200,15.141,10510400.000,-88.308
1.300,15.139,10508600.000,-88.322
1.400,15.137,10515100.000,-88.320
1.500,15.144,10510200.000,-88.304
1.600,15.138,10509400.000,-88.321
1.700,15.135,10509700.000,-88.319
1.800,15.136,10513000.000,-88.324
1.900,15.138,10514600.000,-88.326
2.000,15.137,10513300.000,-88.331
2.100,15.132,10512900.000,-88.316
2.200,15.135,10514600.000,-88.327
2.300,15.132,10513500.000,-88.311
2.400,15.137,10512000.000,-88.321
2.500,15.138,10511700.000,-88.308
2.600,15.136,10513600.000,-88.322
2.700,15.137,10513800.000,-88.331
2.800,15.140,10510800.000,-88.322
2.900,15.136,10510600.000,-88.323
3.000,15.138,10512700.000,-88.325
#,#,#,#
