Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,126.043,1200.490,-0.054
-1.900,126.878,1200.090,-0.054
-1.800,124.343,1200.410,-0.054
-1.700,122.686,1200.110,-0.054
-1.600,121.320,1200.450,-0.055
-1.500,124.067,1200.220,-0.054
-1.400,125.649,1199.660,-0.054
-1.300,125.930,1199.800,-0.054
-1.200,126.306,1200.270,-0.053
-1.100,136.051,1200.150,-0.053
-1.000,111.129,1200.170,-0.054
-0.900,124.361,1199.630,-0.054
-0.800,129.718,1199.640,-0.054
-0.700,126.799,1199.560,-0.054
-0.600,128.121,1200.040,-0.054
-0.500,128.875,1199.390,-0.054
-0.400,129.142,1199.670,-0.054
-0.300,127.419,1199.470,-0.054
-0.200,121.651,1199.750,-0.053
-0.100,124.221,1199.840,-0.054
0.000,122.999,1200.100,-0.054
0.100,124.594,1200.050,-0.054
0.200,126.777,1199.760,-0.053
0.300,128.581,1199.780,-0.054
0.400,128.389,1199.540,-0.054
0.500,127.725,1199.450,-0.054
0.600,128.695,1199.620,-0.053
0.700,131.108,1199.770,-0.054
0.800,127.205,1200.030,-0.055
0.900,129.479,1200.490,-0.055
1.000,128.362,1200.210,-0.055
1.100,127.232,1199.980,-0.055
1.200,124.950,1200.260,-0.054
1.300,125.752,1200.240,-0.053
1.400,124.599,1200.330,-0.054
1.500,125.590,1199.920,-0.054
1.600,127.563,1199.810,-0.055
1.700,124.729,1200.620,-0.053
1.800,126.057,1200.310,-0.054
1.900,128.298,1200.110,-0.054
2.000,125.368,1200.010,-0.053
2.100,124.712,1199.780,-0.053
2.200,125.353,1199.770,-0.054
2.300,125.534,1199.830,-0.055
2.400,124.665,1199.770,-0.055
2.500,124.660,1200.100,-0.055
2.600,124.530,1200.190,-0.055
2.700,122.971,1200.060,-0.055
2.800,123.820,1200.150,-0.054
2.900,122.729,1200.350,-0.054
3.000,123.039,1200.340,-0.055
#,#,#,#
