Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.675,8998330.000,-88.207
-1.900,17.676,9000760.000,-88.201
-1.800,17.678,8998350.000,-88.213
-1.700,17.679,8998910.000,-88.205
-1.600,17.681,9001350.000,-88.205
-1.500,17.677,8999050.000,-88.199
-1.400,17.674,8997530.000,-88.205
-1.300,17.677,8999510.000,-88.214
-1.200,17.680,9000230.000,-88.190
-1.100,17.676,9000830.000,-88.201
-1.000,17.677,9001920.000,-88.192
-0.900,17.680,8999020.000,-88.189
-0.800,17.680,8999800.000,-88.184
-0.700,17.676,8999490.000,-88.197
-0.600,17.676,8999500.000,-88.207
-0.500,17.679,9000070.000,-88.191
-0.400,17.677,9002590.000,-88.196
-0.300,17.677,9001960.000,-88.194
-0.200,17.677,9001350.000,-88.213
-0.100,17.675,8998740.000,-88.210
0.000,17.677,8998730.000,-88.201
0.100,17.679,8998240.000,-88.196
0.200,17.673,9000480.000,-88.204
0.300,17.674,9001750.000,-88.210
0.400,17.679,9002300.000,-88.199
0.500,17.673,8999150.000,-88.198
0.600,17.674,9000610.000,-88.221
0.700,17.672,8999950.000,-88.199
0.800,17.674,8998230.000,-88.215
0.900,17.679,9003180.000,-88.203
1.000,17.674,9000800.000,-88.194
1.100,17.674,8999990.000,-88.204
1.200,17.677,8998450.000,-88.204
1.300,17.675,8998660.000,-88.193
1.400,17.674,8999020.000,-88.213
1.500,17.676,9000310.000,-88.224
1.600,17.676,8999620.000,-88.201
1.700,17.682,9001140.000,-88.205
1.800,17.678,9002750.000,-88.204
1.900,17.678,8999430.000,-88.209
2.000,17.680,9002140.000,-88.207
2.100,17.674,9000010.000,-88.201
2.200,17.677,9001550.000,-88.211
2.300,17.674,8999520.000,-88.210
2.400,17.674,8998750.000,-88.195
2.500,17.674,9000500.000,-88.208
2.600,17.672,9002110.000,-88.203
2.700,17.675,8999860.000,-88.198
2.800,17.675,9001090.000,-88.215
2.900,17.675,8999860.000,-88.192
3.000,17.672,8999220.000,-88.208
#,#,#,#
