Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,341.495,622.063,-0.055
-1.900,237.307,624.771,-0.054
-1.800,247.366,624.516,-0.054
-1.700,238.989,625.410,-0.055
-1.600,232.801,623.328,-0.054
-1.500,239.396,623.005,-0.053
-1.400,234.898,622.598,-0.054
-1.300,224.776,622.929,-0.055
-1.200,227.805,623.951,-0.057
-1.100,222.918,623.811,-0.057
-1.000,237.209,625.095,-0.055
-0.900,236.055,625.233,-0.055
-0.800,234.996,624.296,-0.055
-0.700,233.926,625.729,-0.053
-0.600,231.115,631.715,-0.053
-0.500,225.683,714.927,-0.066
-0.400,231.023,715.466,-0.066
-0.300,231.333,715.676,-0.064
-0.200,228.395,716.043,-0.064
-0.100,234.662,715.733,-0.066
0.000,235.514,715.465,-0.063
0.100,239.009,715.151,-0.064
0.200,229.991,716.083,-0.065
0.300,223.284,715.801,-0.067
0.400,224.444,716.111,-0.066
0.500,228.897,715.890,-0.067
0.600,227.492,714.708,-0.066
0.700,225.870,715.884,-0.065
0.800,231.114,715.963,-0.064
0.900,229.479,715.132,-0.064
1.000,226.194,715.078,-0.066
1.100,228.114,715.670,-0.066
1.200,231.689,715.183,-0.064
1.300,236.322,714.563,-0.064
1.400,230.292,714.694,-0.064
1.500,231.564,715.273,-0.064
1.600,236.507,715.249,-0.065
1.700,230.466,715.127,-0.067
1.800,222.163,716.190,-0.066
1.900,246.650,715.416,-0.065
2.000,241.205,715.501,-0.065
2.100,237.612,715.705,-0.065
2.200,227.921,715.268,-0.065
2.300,250.555,714.973,-0.064
2.400,224.662,714.697,-0.064
2.500,237.643,714.973,-0.065
2.600,233.591,715.177,-0.064
2.700,235.507,714.776,-0.066
2.800,212.683,715.068,-0.066
2.900,232.283,715.944,-0.068
3.000,234.177,715.406,-0.067
#,#,#,#
