Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.928,8875180.000,-88.112
-1.900,17.929,8875310.000,-88.105
-1.800,17.927,8873370.000,-88.111
-1.700,17.927,8872130.000,-88.116
-1.600,17.929,8873790.000,-88.098
-1.500,17.928,8871670.000,-88.097
-1.400,17.928,8873070.000,-88.100
-1.300,17.925,8872430.000,-88.112
-1.200,17.929,8874250.000,-88.102
-1.100,17.931,8874340.000,-88.104
-1.000,17.929,8874650.000,-88.106
-0.900,17.929,8876060.000,-88.110
-0.800,17.929,8876040.000,-88.103
-0.700,17.928,8873230.000,-88.099
-0.600,17.924,8874180.000,-88.106
-0.500,17.927,8874210.000,-88.090
-0.400,17.925,8873980.000,-88.100
-0.300,17.929,8875060.000,-88.104
-0.200,17.929,8874960.000,-88.105
-0.100,17.928,8870820.000,-88.115
0.000,17.926,8873320.000,-88.103
0.100,17.929,8875360.000,-88.099
0.200,17.925,8873840.000,-88.097
0.300,17.929,8874210.000,-88.115
0.400,17.926,8874290.000,-88.094
0.500,17.925,8874260.000,-88.107
0.600,17.922,8872670.000,-88.103
0.700,17.926,8874060.000,-88.111
0.800,17.927,8875270.000,-88.100
0.900,17.928,8874420.000,-88.099
1.000,17.927,8873690.000,-88.097
1.100,17.929,8874680.000,-88.093
1.200,17.923,8874180.000,-88.098
1.300,17.926,8873070.000,-88.095
1.400,17.928,8875430.000,-88.102
1.500,17.929,8874810.000,-88.096
1.600,17.925,8874080.000,-88.092
1.700,17.927,8874400.000,-88.106
1.800,17.931,8876610.000,-88.101
1.900,17.928,8874230.000,-88.113
2.000,17.927,8874750.000,-88.102
2.100,17.931,8875630.000,-88.091
2.200,17.926,8874490.000,-88.104
2.300,17.929,8876230.000,-88.100
2.400,17.923,8873150.000,-88.105
2.500,17.925,8876300.000,-88.115
2.600,17.928,8875140.000,-88.121
2.700,17.925,8874350.000,-88.106
2.800,17.928,8874620.000,-88.110
2.900,17.928,8873100.000,-88.099
3.000,17.922,8874790.000,-88.100
#,#,#,#
