Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,14.315,11111300.000,-88.168
-1.900,14.315,11111500.000,-88.181
-1.800,14.317,11110000.000,-88.185
-1.700,14.313,11111500.000,-88.179
-1.600,14.317,11112000.000,-88.199
-1.500,14.317,11116700.000,-88.180
-1.400,14.314,11109700.000,-88.198
-1.300,14.316,11112900.000,-88.195
-1.200,14.314,11114100.000,-88.192
-1.100,14.317,11111100.000,-88.209
-1.000,14.313,11113400.000,-88.208
-0.900,14.314,11115100.000,-88.204
-0.800,14.317,11113900.000,-88.194
-0.700,14.319,11110700.000,-88.186
-0.600,14.312,11109000.000,-88.188
-0.500,14.317,11111700.000,-88.194
-0.400,14.322,11111500.000,-88.197
-0.300,14.318,11109200.000,-88.201
-0.200,14.315,11112500.000,-88.213
-0.100,14.312,11113800.000,-88.199
0.000,14.319,11111200.000,-88.198
0.100,14.314,11110900.000,-88.194
0.200,14.317,11110900.000,-88.189
0.300,14.317,11109300.000,-88.199
0.400,14.317,11115100.000,-88.186
0.500,14.312,11115800.000,-88.182
0.600,14.313,11110400.000,-88.201
0.700,14.313,11115200.000,-88.182
0.800,14.316,11112900.000,-88.183
0.900,14.318,11111800.000,-88.203
1.000,14.316,11113700.000,-88.188
1.100,14.318,11110400.000,-88.192
1.200,14.311,11112400.000,-88.205
1.300,14.318,11111900.000,-88.200
1.400,14.317,11110400.000,-88.196
1.500,14.316,11112700.000,-88.197
1.600,14.314,11115500.000,-88.197
1.700,14.315,11114100.000,-88.193
1.800,14.319,11114200.000,-88.185
1.900,14.315,11115400.000,-88.183
2.000,14.316,11112000.000,-88.183
2.100,14.315,11111500.000,-88.197
2.200,14.322,11110700.000,-88.196
2.300,14.319,11109500.000,-88.193
2.400,14.315,11112500.000,-88.183
2.500,14.318,11112100.000,-88.173
2.600,14.321,11112200.000,-88.174
2.700,14.318,11113600.000,-88.186
2.800,14.316,11113300.000,-88.185
2.900,14.313,11115300.000,-88.205
3.000,14.316,11115500.000,-88.194
#,#,#,#
