Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,13.753,11562500.000,-88.150
-1.900,13.754,11563200.000,-88.123
-1.800,13.755,11567400.000,-88.133
-1.700,13.759,11565700.000,-88.126
-1.600,13.759,11564500.000,-88.113
-1.500,13.758,11564700.000,-88.139
-1.400,13.759,11564200.000,-88.137
-1.300,13.758,11565300.000,-88.139
-1.200,13.753,11563700.000,-88.136
-1.100,13.754,11563500.000,-88.113
-1.000,13.759,11563100.000,-88.128
-0.900,13.762,11561400.000,-88.129
-0.800,13.758,11560700.000,-88.131
-0.700,13.757,11562200.000,-88.130
-0.600,13.756,11563400.000,-88.117
-0.500,13.758,11564100.000,-88.140
-0.400,13.756,11563100.000,-88.137
-0.300,13.759,11567500.000,-88.121
-0.200,13.757,11563700.000,-88.120
-0.100,13.759,11566300.000,-88.127
0.000,13.757,11568300.000,-88.131
0.100,13.759,11566400.000,-88.128
0.200,13.758,11565500.000,-88.130
0.300,13.755,11565800.000,-88.129
0.400,13.759,11562700.000,-88.151
0.500,13.759,11564500.000,-88.135
0.600,13.754,11563200.000,-88.130
0.700,13.752,11563600.000,-88.127
0.800,13.755,11565900.000,-88.129
0.900,13.757,11565200.000,-88.129
1.000,13.758,11567100.000,-88.127
1.100,13.755,11566300.000,-88.150
1.200,13.755,11564200.000,-88.138
1.300,13.755,11563700.000,-88.135
1.400,13.755,11568300.000,-88.114
1.500,13.758,11566100.000,-88.119
1.600,13.758,11563900.000,-88.145
1.700,13.754,11562400.000,-88.119
1.800,13.754,11563800.000,-88.126
1.900,13.755,11566000.000,-88.136
2.000,13.756,11565800.000,-88.129
2.100,13.758,11562700.000,-88.121
2.200,13.758,11563600.000,-88.110
2.300,13.756,11568100.000,-88.123
2.400,13.757,11565500.000,-88.133
2.500,13.756,11567400.000,-88.132
2.600,13.756,11569300.000,-88.115
2.700,13.752,11569000.000,-88.123
2.800,13.757,11565200.000,-88.110
2.900,13.759,11566000.000,-88.113
3.000,13.754,11567600.000,-88.139
#,#,#,#
