Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.969,9965950.000,-88.378
-1.900,15.970,9964070.000,-88.366
-1.800,15.970,9963220.000,-88.378
-1.700,15.964,9964060.000,-88.372
-1.600,15.968,9966610.000,-88.388
-1.500,15.969,9967670.000,-88.388
-1.400,15.963,9965890.000,-88.382
-1.300,15.962,9964610.000,-88.377
-1.200,15.964,9966440.000,-88.369
-1.100,15.973,9965070.000,-88.379
-1.000,15.964,9966050.000,-88.395
-0.900,15.967,9962480.000,-88.375
-0.800,15.968,9963460.000,-88.388
-0.700,15.968,9965600.000,-88.382
-0.600,15.969,9963310.000,-88.380
-0.500,15.966,9964200.000,-88.368
-0.400,15.966,9965100.000,-88.385
-0.300,15.967,9965730.000,-88.382
-0.200,15.970,9965630.000,-88.383
-0.100,15.960,9967710.000,-88.383
0.000,15.972,9964880.000,-88.370
0.100,15.968,9966010.000,-88.375
0.200,15.966,9963950.000,-88.376
0.300,15.973,9960650.000,-88.371
0.400,15.965,9966130.000,-88.379
0.500,15.968,9966540.000,-88.384
0.600,15.968,9967410.000,-88.379
0.700,15.966,9965690.000,-88.379
0.800,15.968,9964840.000,-88.367
0.900,15.966,9966630.000,-88.389
1.000,15.966,9967720.000,-88.382
1.100,15.970,9966260.000,-88.360
1.200,15.968,9967340.000,-88.382
1.300,15.963,9967140.000,-88.380
1.400,15.968,9965710.000,-88.379
1.500,15.969,9967420.000,-88.388
1.600,15.966,9967120.000,-88.387
1.700,15.963,9967990.000,-88.391
1.800,15.965,9965950.000,-88.394
1.900,15.963,9967630.000,-88.371
2.000,15.964,9966010.000,-88.388
2.100,15.969,9964750.000,-88.380
2.200,15.970,9964790.000,-88.382
2.300,15.967,9965870.000,-88.391
2.400,15.962,9966880.000,-88.372
2.500,15.969,9964000.000,-88.384
2.600,15.967,9963680.000,-88.379
2.700,15.962,9965430.000,-88.385
2.800,15.966,9966720.000,-88.370
2.900,15.963,9969010.000,-88.389
3.000,15.965,9967210.000,-88.383
#,#,#,#
