Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.031,9865680.000,-81.729
-1.900,16.016,9859070.000,-81.716
-1.800,16.012,9856660.000,-81.708
-1.700,16.025,9852750.000,-81.690
-1.600,16.023,9856800.000,-81.701
-1.500,16.041,9856920.000,-81.705
-1.400,16.053,9857190.000,-81.700
-1.300,16.014,9855860.000,-81.696
-1.200,16.030,9839490.000,-81.665
-1.100,16.037,9835300.000,-81.655
-1.000,16.018,9829630.000,-81.644
-0.900,16.033,9816460.000,-81.592
-0.800,16.038,9830820.000,-81.654
-0.700,16.041,9827210.000,-81.634
-0.600,16.044,9826220.000,-81.626
-0.500,16.040,9825760.000,-81.637
-0.400,16.039,9806070.000,-81.573
-0.300,16.035,9809920.000,-81.573
-0.200,16.038,9811930.000,-81.595
-0.100,16.043,9824700.000,-81.611
0.000,16.045,9824290.000,-81.631
0.100,16.043,9826810.000,-81.617
0.200,16.014,9821260.000,-81.599
0.300,16.010,9822620.000,-81.621
0.400,15.997,9828280.000,-81.618
0.500,15.987,9829570.000,-81.609
0.600,16.004,9827650.000,-81.611
0.700,16.002,9831680.000,-81.636
0.800,16.001,9832270.000,-81.634
0.900,16.012,9834590.000,-81.653
1.000,16.023,9835940.000,-81.651
1.100,16.026,9840790.000,-81.646
1.200,16.025,9844820.000,-81.658
1.300,15.991,9842650.000,-81.643
1.400,15.980,9836250.000,-81.666
1.500,15.966,9837920.000,-81.663
1.600,15.968,9837900.000,-81.664
1.700,15.975,9836930.000,-81.662
1.800,15.981,9838920.000,-81.663
1.900,15.957,9829670.000,-81.635
2.000,15.952,9829290.000,-81.639
2.100,15.952,9830650.000,-81.645
2.200,15.950,9833840.000,-81.659
2.300,15.963,9841440.000,-81.677
2.400,15.957,9844150.000,-81.687
2.500,15.974,9847080.000,-81.683
2.600,15.972,9841640.000,-81.690
2.700,15.971,9835750.000,-81.653
2.800,15.971,9829530.000,-81.639
2.900,15.973,9823450.000,-81.623
3.000,15.974,9820240.000,-81.612
#,#,#,#
