Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.435,92505.300,-0.592
-1.900,16.818,92441.900,-0.597
-1.800,17.004,92575.100,-0.602
-1.700,17.735,92586.200,-0.604
-1.600,17.610,92953.700,-0.596
-1.500,16.967,92647.900,-0.584
-1.400,17.324,92896.800,-0.607
-1.300,17.622,92877.200,-0.602
-1.200,17.346,92760.700,-0.599
-1.100,18.389,92594.500,-0.596
-1.000,17.706,92674.900,-0.595
-0.900,18.171,92738.200,-0.598
-0.800,17.948,92804.300,-0.601
-0.700,17.826,93090.900,-0.607
-0.600,17.903,93070.700,-0.594
-0.500,18.040,92855.200,-0.604
-0.400,17.596,92857.100,-0.599
-0.300,18.041,92914.000,-0.586
-0.200,17.819,92682.200,-0.600
-0.100,18.211,92817.200,-0.582
0.000,18.190,92968.900,-0.595
0.100,17.947,92995.300,-0.586
0.200,17.985,93839.100,-0.592
0.300,17.563,93951.900,-0.594
0.400,17.947,93938.100,-0.608
0.500,18.200,93580.900,-0.598
0.600,17.976,94310.600,-0.617
0.700,18.447,94069.600,-0.603
0.800,18.235,93230.500,-0.601
0.900,18.082,93216.100,-0.596
1.000,18.098,93658.300,-0.596
1.100,18.194,93073.600,-0.594
1.200,18.395,92585.300,-0.583
1.300,18.185,93225.500,-0.569
1.400,17.897,92557.100,-0.570
1.500,18.185,92794.700,-0.586
1.600,18.003,92869.400,-0.597
1.700,17.878,93099.900,-0.530
1.800,17.873,93154.200,-0.582
1.900,17.586,94434.600,-0.607
2.000,17.822,91860.900,-0.607
2.100,17.604,92860.200,-0.634
2.200,18.112,92808.500,-0.601
2.300,18.215,93458.600,-0.599
2.400,18.018,92802.600,-0.610
2.500,18.228,92877.400,-0.556
2.600,17.929,93219.200,-0.591
2.700,18.205,92981.400,-0.595
2.800,17.861,91956.700,-0.513
2.900,18.003,92628.600,-0.553
3.000,18.053,92753.400,-0.565
#,#,#,#
