Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.487,9096840.000,-88.146
-1.900,17.491,9097000.000,-88.159
-1.800,17.488,9095200.000,-88.166
-1.700,17.489,9096050.000,-88.154
-1.600,17.484,9099770.000,-88.162
-1.500,17.489,9099980.000,-88.154
-1.400,17.489,9096320.000,-88.168
-1.300,17.489,9097370.000,-88.161
-1.200,17.486,9097020.000,-88.160
-1.100,17.487,9096650.000,-88.165
-1.000,17.487,9100200.000,-88.159
-0.900,17.487,9097740.000,-88.158
-0.800,17.485,9100340.000,-88.161
-0.700,17.485,9099310.000,-88.154
-0.600,17.485,9097190.000,-88.161
-0.500,17.484,9097840.000,-88.183
-0.400,17.487,9098670.000,-88.164
-0.300,17.485,9097350.000,-88.173
-0.200,17.483,9097630.000,-88.162
-0.100,17.488,9097740.000,-88.163
0.000,17.484,9096810.000,-88.172
0.100,17.485,9097240.000,-88.169
0.200,17.487,9096920.000,-88.163
0.300,17.487,9098400.000,-88.157
0.400,17.489,9098990.000,-88.162
0.500,17.487,9097260.000,-88.153
0.600,17.488,9096080.000,-88.163
0.700,17.486,9098030.000,-88.167
0.800,17.488,9095530.000,-88.166
0.900,17.486,9097960.000,-88.166
1.000,17.482,9097610.000,-88.153
1.100,17.488,9095250.000,-88.144
1.200,17.484,9098000.000,-88.152
1.300,17.488,9098080.000,-88.151
1.400,17.487,9099170.000,-88.162
1.500,17.489,9097340.000,-88.159
1.600,17.485,9097730.000,-88.172
1.700,17.487,9098640.000,-88.141
1.800,17.483,9098920.000,-88.160
1.900,17.484,9094990.000,-88.162
2.000,17.483,9098190.000,-88.151
2.100,17.487,9097960.000,-88.172
2.200,17.480,9098980.000,-88.163
2.300,17.480,9098950.000,-88.162
2.400,17.488,9097170.000,-88.142
2.500,17.483,9096800.000,-88.169
2.600,17.486,9097740.000,-88.170
2.700,17.487,9098010.000,-88.156
2.800,17.487,9097920.000,-88.155
2.900,17.482,9100420.000,-88.155
3.000,17.485,9097830.000,-88.165
#,#,#,#
