Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,18.722,8499480.000,-88.110
-1.900,18.719,8499640.000,-88.105
-1.800,18.720,8498490.000,-88.106
-1.700,18.722,8497490.000,-88.108
-1.600,18.717,8500060.000,-88.133
-1.500,18.725,8500340.000,-88.117
-1.400,18.726,8500360.000,-88.114
-1.300,18.722,8499340.000,-88.116
-1.200,18.723,8498660.000,-88.111
-1.100,18.719,8498710.000,-88.107
-1.000,18.722,8498730.000,-88.125
-0.900,18.718,8497590.000,-88.120
-0.800,18.718,8498970.000,-88.122
-0.700,18.720,8498440.000,-88.120
-0.600,18.720,8497880.000,-88.101
-0.500,18.719,8497970.000,-88.111
-0.400,18.720,8497820.000,-88.117
-0.300,18.719,8498030.000,-88.123
-0.200,18.717,8498620.000,-88.126
-0.100,18.723,8500710.000,-88.111
0.000,18.714,8497930.000,-88.111
0.100,18.717,8497130.000,-88.112
0.200,18.718,8497660.000,-88.108
0.300,18.717,8497080.000,-88.113
0.400,18.715,8500010.000,-88.113
0.500,18.719,8500260.000,-88.106
0.600,18.719,8499460.000,-88.112
0.700,18.720,8499600.000,-88.099
0.800,18.717,8499430.000,-88.106
0.900,18.715,8498090.000,-88.118
1.000,18.717,8500320.000,-88.120
1.100,18.718,8499690.000,-88.107
1.200,18.718,8500570.000,-88.108
1.300,18.718,8501300.000,-88.124
1.400,18.714,8498540.000,-88.111
1.500,18.717,8501290.000,-88.125
1.600,18.716,8500030.000,-88.127
1.700,18.714,8501940.000,-88.121
1.800,18.714,8501040.000,-88.120
1.900,18.719,8500150.000,-88.104
2.000,18.719,8498050.000,-88.110
2.100,18.720,8500020.000,-88.119
2.200,18.716,8498810.000,-88.113
2.300,18.712,8500000.000,-88.119
2.400,18.719,8498380.000,-88.130
2.500,18.717,8499220.000,-88.114
2.600,18.716,8498840.000,-88.117
2.700,18.715,8498960.000,-88.121
2.800,18.718,8499850.000,-88.114
2.900,18.721,8500490.000,-88.118
3.000,18.715,8500490.000,-88.118
#,#,#,#
