Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.765,10093900.000,-88.378
-1.900,15.765,10091600.000,-88.364
-1.800,15.768,10089500.000,-88.366
-1.700,15.767,10091000.000,-88.371
-1.600,15.764,10094400.000,-88.390
-1.500,15.762,10091600.000,-88.369
-1.400,15.765,10092600.000,-88.376
-1.300,15.763,10095400.000,-88.383
-1.200,15.762,10094800.000,-88.378
-1.100,15.764,10091400.000,-88.392
-1.000,15.759,10092400.000,-88.393
-0.900,15.765,10094200.000,-88.391
-0.800,15.763,10092900.000,-88.390
-0.700,15.760,10090100.000,-88.378
-0.600,15.763,10093700.000,-88.381
-0.500,15.764,10092100.000,-88.380
-0.400,15.761,10093600.000,-88.386
-0.300,15.764,10092400.000,-88.382
-0.200,15.762,10093800.000,-88.398
-0.100,15.764,10094700.000,-88.381
0.000,15.763,10090500.000,-88.375
0.100,15.764,10093800.000,-88.386
0.200,15.761,10090800.000,-88.382
0.300,15.765,10093000.000,-88.380
0.400,15.759,10095500.000,-88.385
0.500,15.766,10094100.000,-88.381
0.600,15.764,10091900.000,-88.381
0.700,15.761,10093700.000,-88.373
0.800,15.761,10094500.000,-88.381
0.900,15.767,10092700.000,-88.379
1.000,15.762,10091900.000,-88.370
1.100,15.764,10096600.000,-88.378
1.200,15.762,10095000.000,-88.376
1.300,15.762,10095200.000,-88.383
1.400,15.764,10092800.000,-88.381
1.500,15.765,10094900.000,-88.371
1.600,15.763,10094500.000,-88.393
1.700,15.764,10093700.000,-88.385
1.800,15.758,10097200.000,-88.391
1.900,15.765,10093200.000,-88.402
2.000,15.767,10090900.000,-88.385
2.100,15.766,10093500.000,-88.394
2.200,15.764,10092200.000,-88.395
2.300,15.766,10095100.000,-88.385
2.400,15.763,10093400.000,-88.376
2.500,15.764,10093200.000,-88.370
2.600,15.766,10093100.000,-88.388
2.700,15.764,10092300.000,-88.393
2.800,15.765,10094200.000,-88.394
2.900,15.764,10091800.000,-88.388
3.000,15.765,10092600.000,-88.377
#,#,#,#
