Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.868,9434970.000,-88.426
-1.900,16.864,9434280.000,-88.430
-1.800,16.868,9431810.000,-88.423
-1.700,16.863,9434290.000,-88.417
-1.600,16.862,9434330.000,-88.430
-1.500,16.866,9434540.000,-88.422
-1.400,16.865,9433920.000,-88.422
-1.300,16.864,9433590.000,-88.425
-1.200,16.863,9434980.000,-88.425
-1.100,16.869,9433930.000,-88.408
-1.000,16.864,9433450.000,-88.437
-0.900,16.864,9434010.000,-88.425
-0.800,16.862,9434620.000,-88.429
-0.700,16.863,9433050.000,-88.444
-0.600,16.870,9435820.000,-88.419
-0.500,16.867,9433450.000,-88.434
-0.400,16.864,9433460.000,-88.417
-0.300,16.863,9435070.000,-88.432
-0.200,16.862,9431810.000,-88.434
-0.100,16.867,9434760.000,-88.431
0.000,16.865,9435430.000,-88.431
0.100,16.866,9434730.000,-88.424
0.200,16.865,9433280.000,-88.410
0.300,16.867,9433520.000,-88.431
0.400,16.867,9433580.000,-88.431
0.500,16.871,9436070.000,-88.428
0.600,16.869,9437390.000,-88.434
0.700,16.869,9433950.000,-88.421
0.800,16.868,9434630.000,-88.410
0.900,16.866,9432790.000,-88.418
1.000,16.867,9435020.000,-88.433
1.100,16.871,9435580.000,-88.430
1.200,16.864,9434810.000,-88.433
1.300,16.863,9434120.000,-88.428
1.400,16.867,9433130.000,-88.433
1.500,16.861,9433990.000,-88.434
1.600,16.860,9434790.000,-88.440
1.700,16.862,9432610.000,-88.433
1.800,16.863,9433980.000,-88.427
1.900,16.865,9434730.000,-88.415
2.000,16.861,9432560.000,-88.418
2.100,16.869,9431690.000,-88.429
2.200,16.863,9433980.000,-88.423
2.300,16.861,9433510.000,-88.433
2.400,16.864,9434830.000,-88.423
2.500,16.865,9435190.000,-88.415
2.600,16.864,9433800.000,-88.428
2.700,16.869,9434350.000,-88.421
2.800,16.864,9435620.000,-88.423
2.900,16.864,9434800.000,-88.427
3.000,16.865,9435740.000,-88.426
#,#,#,#
