Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.142,9855550.000,-87.848
-1.900,16.143,9854440.000,-87.852
-1.800,16.139,9853750.000,-87.857
-1.700,16.140,9855060.000,-87.837
-1.600,16.144,9853350.000,-87.849
-1.500,16.140,9853830.000,-87.868
-1.400,16.136,9855650.000,-87.852
-1.300,16.140,9854190.000,-87.858
-1.200,16.142,9854000.000,-87.851
-1.100,16.145,9853720.000,-87.842
-1.000,16.144,9853410.000,-87.845
-0.900,16.146,9853240.000,-87.846
-0.800,16.146,9853090.000,-87.843
-0.700,16.139,9854210.000,-87.846
-0.600,16.139,9855770.000,-87.857
-0.500,16.140,9854950.000,-87.835
-0.400,16.142,9854560.000,-87.835
-0.300,16.139,9856540.000,-87.834
-0.200,16.143,9856620.000,-87.848
-0.100,16.138,9858060.000,-87.851
0.000,16.141,9857020.000,-87.844
0.100,16.138,9857730.000,-87.833
0.200,16.139,9853910.000,-87.846
0.300,16.141,9855660.000,-87.841
0.400,16.144,9856310.000,-87.864
0.500,16.139,9859240.000,-87.856
0.600,16.140,9860590.000,-87.862
0.700,16.138,9856840.000,-87.857
0.800,16.140,9856800.000,-87.852
0.900,16.137,9856020.000,-87.849
1.000,16.139,9855160.000,-87.855
1.100,16.140,9853170.000,-87.852
1.200,16.140,9855060.000,-87.866
1.300,16.145,9856490.000,-87.866
1.400,16.138,9855950.000,-87.847
1.500,16.139,9855910.000,-87.847
1.600,16.140,9856780.000,-87.848
1.700,16.139,9854670.000,-87.852
1.800,16.141,9851750.000,-87.855
1.900,16.138,9854650.000,-87.839
2.000,16.142,9856230.000,-87.835
2.100,16.141,9855370.000,-87.847
2.200,16.140,9856240.000,-87.859
2.300,16.138,9857020.000,-87.870
2.400,16.139,9856640.000,-87.854
2.500,16.135,9857150.000,-87.848
2.600,16.135,9856420.000,-87.850
2.700,16.135,9856590.000,-87.862
2.800,16.140,9858280.000,-87.841
2.900,16.144,9858400.000,-87.858
3.000,16.137,9857640.000,-87.861
#,#,#,#
