Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.883,9421070.000,-88.370
-1.900,16.885,9422730.000,-88.354
-1.800,16.885,9422840.000,-88.358
-1.700,16.882,9430640.000,-88.373
-1.600,16.881,9428770.000,-88.365
-1.500,16.890,9424570.000,-88.372
-1.400,16.887,9423440.000,-88.379
-1.300,16.887,9422280.000,-88.385
-1.200,16.887,9423930.000,-88.374
-1.100,16.884,9423470.000,-88.358
-1.000,16.886,9422450.000,-88.365
-0.900,16.890,9421040.000,-88.383
-0.800,16.888,9420330.000,-88.376
-0.700,16.890,9419920.000,-88.373
-0.600,16.884,9422820.000,-88.360
-0.500,16.886,9424010.000,-88.372
-0.400,16.886,9422020.000,-88.362
-0.300,16.886,9420430.000,-88.362
-0.200,16.884,9423940.000,-88.370
-0.100,16.887,9423370.000,-88.362
0.000,16.884,9421420.000,-88.371
0.100,16.886,9421260.000,-88.364
0.200,16.881,9420850.000,-88.360
0.300,16.887,9420850.000,-88.358
0.400,16.887,9421060.000,-88.381
0.500,16.887,9422650.000,-88.371
0.600,16.884,9423570.000,-88.362
0.700,16.885,9425040.000,-88.364
0.800,16.886,9422390.000,-88.373
0.900,16.887,9420550.000,-88.372
1.000,16.886,9421520.000,-88.378
1.100,16.887,9420320.000,-88.362
1.200,16.888,9422470.000,-88.380
1.300,16.887,9422070.000,-88.382
1.400,16.880,9421820.000,-88.351
1.500,16.881,9422430.000,-88.347
1.600,16.888,9420760.000,-88.380
1.700,16.887,9421600.000,-88.366
1.800,16.887,9422410.000,-88.376
1.900,16.881,9423540.000,-88.370
2.000,16.884,9422980.000,-88.353
2.100,16.886,9421280.000,-88.357
2.200,16.884,9423540.000,-88.363
2.300,16.886,9422380.000,-88.369
2.400,16.885,9422320.000,-88.379
2.500,16.886,9422520.000,-88.361
2.600,16.888,9421430.000,-88.371
2.700,16.882,9423220.000,-88.363
2.800,16.884,9423360.000,-88.370
2.900,16.885,9422920.000,-88.370
3.000,16.884,9422430.000,-88.377
#,#,#,#
