Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.699,9526130.000,-88.109
-1.900,16.694,9525280.000,-88.114
-1.800,16.695,9525740.000,-88.116
-1.700,16.701,9524580.000,-88.104
-1.600,16.703,9526170.000,-88.089
-1.500,16.703,9525870.000,-88.099
-1.400,16.701,9525740.000,-88.099
-1.300,16.703,9523980.000,-88.093
-1.200,16.702,9525800.000,-88.110
-1.100,16.696,9525340.000,-88.122
-1.000,16.705,9525100.000,-88.092
-0.900,16.700,9522950.000,-88.104
-0.800,16.700,9524840.000,-88.104
-0.700,16.701,9526200.000,-88.113
-0.600,16.695,9529090.000,-88.103
-0.500,16.693,9527860.000,-88.106
-0.400,16.698,9526020.000,-88.107
-0.300,16.697,9527740.000,-88.112
-0.200,16.699,9524830.000,-88.103
-0.100,16.701,9525060.000,-88.102
0.000,16.695,9525980.000,-88.106
0.100,16.698,9527330.000,-88.107
0.200,16.700,9526920.000,-88.107
0.300,16.696,9526470.000,-88.114
0.400,16.700,9525470.000,-88.097
0.500,16.700,9524060.000,-88.106
0.600,16.698,9525100.000,-88.101
0.700,16.699,9526690.000,-88.115
0.800,16.698,9526150.000,-88.100
0.900,16.699,9526750.000,-88.096
1.000,16.697,9526430.000,-88.100
1.100,16.697,9525560.000,-88.105
1.200,16.701,9527980.000,-88.099
1.300,16.699,9525020.000,-88.102
1.400,16.696,9527740.000,-88.096
1.500,16.699,9524560.000,-88.107
1.600,16.704,9525790.000,-88.094
1.700,16.702,9524700.000,-88.096
1.800,16.697,9525960.000,-88.103
1.900,16.695,9527530.000,-88.119
2.000,16.700,9529540.000,-88.103
2.100,16.697,9525390.000,-88.109
2.200,16.695,9528290.000,-88.105
2.300,16.697,9530600.000,-88.108
2.400,16.701,9526580.000,-88.102
2.500,16.697,9526970.000,-88.107
2.600,16.697,9528740.000,-88.106
2.700,16.699,9530780.000,-88.100
2.800,16.699,9527030.000,-88.111
2.900,16.700,9526550.000,-88.097
3.000,16.701,9526510.000,-88.113
#,#,#,#
