Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.743,9503790.000,-88.084
-1.900,16.743,9504250.000,-88.077
-1.800,16.741,9501900.000,-88.077
-1.700,16.739,9504750.000,-88.083
-1.600,16.739,9502050.000,-88.071
-1.500,16.739,9502700.000,-88.100
-1.400,16.740,9503790.000,-88.094
-1.300,16.742,9504360.000,-88.085
-1.200,16.742,9503730.000,-88.076
-1.100,16.737,9503710.000,-88.078
-1.000,16.741,9502140.000,-88.070
-0.900,16.741,9504430.000,-88.072
-0.800,16.745,9502090.000,-88.075
-0.700,16.743,9502560.000,-88.070
-0.600,16.740,9503390.000,-88.071
-0.500,16.743,9502150.000,-88.073
-0.400,16.740,9503540.000,-88.075
-0.300,16.741,9500600.000,-88.077
-0.200,16.737,9504380.000,-88.071
-0.100,16.743,9504100.000,-88.073
0.000,16.739,9504060.000,-88.069
0.100,16.738,9504000.000,-88.065
0.200,16.738,9505940.000,-88.057
0.300,16.742,9504790.000,-88.059
0.400,16.743,9502140.000,-88.071
0.500,16.738,9504370.000,-88.066
0.600,16.738,9506510.000,-88.079
0.700,16.740,9505530.000,-88.085
0.800,16.740,9504590.000,-88.073
0.900,16.742,9503510.000,-88.076
1.000,16.743,9503970.000,-88.083
1.100,16.742,9504210.000,-88.080
1.200,16.741,9504560.000,-88.070
1.300,16.741,9506270.000,-88.087
1.400,16.737,9504050.000,-88.072
1.500,16.741,9505220.000,-88.087
1.600,16.740,9503150.000,-88.088
1.700,16.737,9503350.000,-88.080
1.800,16.739,9502860.000,-88.095
1.900,16.741,9505680.000,-88.078
2.000,16.737,9504040.000,-88.072
2.100,16.739,9503280.000,-88.073
2.200,16.738,9501470.000,-88.060
2.300,16.736,9502720.000,-88.070
2.400,16.739,9504470.000,-88.082
2.500,16.733,9502870.000,-88.078
2.600,16.739,9504840.000,-88.064
2.700,16.735,9506830.000,-88.067
2.800,16.736,9505340.000,-88.064
2.900,16.736,9506080.000,-88.082
3.000,16.739,9505300.000,-88.068
#,#,#,#
