Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,61.747,6024.790,-0.134
-1.900,61.280,6025.200,-0.134
-1.800,61.094,6023.580,-0.134
-1.700,61.473,6022.040,-0.133
-1.600,60.963,6020.450,-0.132
-1.500,61.037,6022.650,-0.132
-1.400,60.926,6020.520,-0.129
-1.300,61.730,6020.100,-0.132
-1.200,61.537,6020.280,-0.134
-1.100,61.821,6019.480,-0.136
-1.000,61.290,6023.060,-0.134
-0.900,61.243,6020.940,-0.133
-0.800,60.898,6019.830,-0.134
-0.700,60.861,6017.360,-0.134
-0.600,61.270,6023.580,-0.134
-0.500,61.662,6026.690,-0.134
-0.400,61.595,6022.910,-0.132
-0.300,61.129,6024.470,-0.135
-0.200,61.510,6023.850,-0.134
-0.100,61.244,6023.500,-0.133
0.000,61.177,6026.920,-0.133
0.100,61.251,6029.000,-0.134
0.200,61.635,6027.540,-0.136
0.300,61.914,6028.280,-0.136
0.400,61.613,6026.720,-0.135
0.500,61.796,6026.790,-0.135
0.600,61.909,6027.480,-0.135
0.700,61.825,6027.680,-0.136
0.800,61.177,6028.880,-0.136
0.900,61.148,6026.830,-0.135
1.000,61.582,6027.510,-0.135
1.100,61.088,6026.400,-0.136
1.200,60.977,6027.900,-0.135
1.300,61.298,6028.050,-0.134
1.400,61.378,6028.680,-0.135
1.500,60.908,6026.740,-0.134
1.600,61.045,6026.100,-0.135
1.700,61.606,6029.970,-0.135
1.800,61.428,6032.100,-0.137
1.900,61.913,6029.490,-0.137
2.000,61.555,6031.030,-0.135
2.100,61.615,6031.260,-0.136
2.200,61.450,6031.250,-0.137
2.300,61.405,6030.270,-0.136
2.400,60.983,6033.060,-0.135
2.500,61.771,6032.190,-0.137
2.600,61.798,6032.510,-0.137
2.700,61.616,6032.590,-0.135
2.800,61.865,6031.180,-0.135
2.900,61.519,6032.410,-0.135
3.000,61.035,6032.540,-0.135
#,#,#,#
