Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,14.626,10878500.000,-88.245
-1.900,14.622,10879700.000,-88.237
-1.800,14.624,10876100.000,-88.230
-1.700,14.624,10877200.000,-88.233
-1.600,14.620,10880500.000,-88.227
-1.500,14.627,10877900.000,-88.214
-1.400,14.629,10877600.000,-88.215
-1.300,14.627,10878300.000,-88.242
-1.200,14.623,10878500.000,-88.232
-1.100,14.620,10881400.000,-88.222
-1.000,14.622,10879200.000,-88.223
-0.900,14.623,10876600.000,-88.223
-0.800,14.621,10877500.000,-88.225
-0.700,14.623,10880800.000,-88.223
-0.600,14.627,10880100.000,-88.220
-0.500,14.618,10880900.000,-88.248
-0.400,14.620,10881200.000,-88.228
-0.300,14.621,10879900.000,-88.233
-0.200,14.621,10884200.000,-88.231
-0.100,14.623,10879200.000,-88.242
0.000,14.622,10879200.000,-88.245
0.100,14.625,10877900.000,-88.236
0.200,14.623,10879100.000,-88.254
0.300,14.622,10879200.000,-88.248
0.400,14.621,10877100.000,-88.238
0.500,14.625,10878600.000,-88.230
0.600,14.622,10879200.000,-88.234
0.700,14.623,10878300.000,-88.248
0.800,14.623,10878200.000,-88.252
0.900,14.618,10880200.000,-88.230
1.000,14.620,10879300.000,-88.231
1.100,14.623,10877600.000,-88.228
1.200,14.624,10877300.000,-88.223
1.300,14.623,10877900.000,-88.228
1.400,14.621,10878700.000,-88.233
1.500,14.621,10879800.000,-88.240
1.600,14.621,10879700.000,-88.225
1.700,14.621,10878400.000,-88.227
1.800,14.621,10880500.000,-88.236
1.900,14.621,10877100.000,-88.247
2.000,14.621,10879500.000,-88.224
2.100,14.620,10879900.000,-88.226
2.200,14.619,10881200.000,-88.218
2.300,14.621,10881500.000,-88.235
2.400,14.623,10880300.000,-88.226
2.500,14.622,10880700.000,-88.243
2.600,14.621,10880400.000,-88.247
2.700,14.622,10878000.000,-88.243
2.800,14.623,10879700.000,-88.240
2.900,14.625,10880300.000,-88.232
3.000,14.623,10878800.000,-88.224
#,#,#,#
