Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.008,9915380.000,-85.590
-1.900,16.011,9917100.000,-85.574
-1.800,16.009,9915510.000,-85.586
-1.700,16.008,9915650.000,-85.590
-1.600,16.015,9910950.000,-85.588
-1.500,16.009,9913830.000,-85.582
-1.400,16.011,9914150.000,-85.588
-1.300,16.010,9916060.000,-85.592
-1.200,16.011,9915280.000,-85.580
-1.100,16.012,9915110.000,-85.576
-1.000,16.010,9911020.000,-85.572
-0.900,16.017,9913640.000,-85.577
-0.800,16.018,9912590.000,-85.586
-0.700,16.018,9914110.000,-85.589
-0.600,16.011,9915680.000,-85.563
-0.500,16.017,9914640.000,-85.560
-0.400,16.017,9914050.000,-85.581
-0.300,16.014,9911970.000,-85.562
-0.200,16.010,9917040.000,-85.583
-0.100,16.010,9917750.000,-85.600
0.000,16.011,9916730.000,-85.586
0.100,16.012,9914290.000,-85.583
0.200,16.013,9914970.000,-85.569
0.300,16.010,9916080.000,-85.583
0.400,16.015,9917420.000,-85.591
0.500,16.006,9916250.000,-85.587
0.600,16.002,9915690.000,-85.577
0.700,16.009,9916540.000,-85.571
0.800,16.008,9915700.000,-85.584
0.900,16.006,9914490.000,-85.577
1.000,16.006,9912970.000,-85.587
1.100,16.009,9913550.000,-85.576
1.200,16.009,9913300.000,-85.583
1.300,16.006,9915840.000,-85.609
1.400,16.004,9916720.000,-85.573
1.500,16.009,9912050.000,-85.577
1.600,16.010,9913120.000,-85.593
1.700,16.007,9913920.000,-85.583
1.800,16.007,9914410.000,-85.573
1.900,16.004,9916080.000,-85.570
2.000,16.006,9914340.000,-85.577
2.100,16.005,9916150.000,-85.578
2.200,16.006,9912950.000,-85.552
2.300,16.004,9914880.000,-85.559
2.400,16.005,9912900.000,-85.566
2.500,16.003,9914330.000,-85.558
2.600,16.005,9913730.000,-85.560
2.700,16.001,9911790.000,-85.562
2.800,16.001,9915290.000,-85.562
2.900,16.005,9912370.000,-85.579
3.000,16.003,9915930.000,-85.583
#,#,#,#
