Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.900,97116.500,-0.632
1200.000,17.524,96952.000,-0.737
1250.000,16.920,97033.900,-0.753
1500.000,16.629,97205.600,-0.871
1600.000,16.462,97108.400,-0.937
1660.000,17.178,96601.700,-0.971
2000.000,17.672,96490.200,-1.226
2400.000,17.775,96762.200,-1.472
2500.000,17.732,96151.800,-1.516
3000.000,17.480,96474.700,-1.827
3200.000,17.588,96570.300,-1.966
3330.000,17.721,96376.300,-2.039
4000.000,17.732,96343.700,-2.459
4800.000,17.630,96033.100,-2.939
5000.000,17.676,96414.300,-3.083
6000.000,17.607,96124.800,-3.692
6400.000,17.613,96413.400,-3.934
6660.000,17.610,96995.900,-4.119
8000.000,17.527,96202.200,-4.909
9600.000,17.561,96344.100,-5.888
10000.000,17.581,96222.000,-6.134
12000.000,17.476,95690.700,-7.307
12500.000,17.477,95624.900,-7.547
15000.000,17.533,95414.700,-9.079
16000.000,17.529,94767.000,-9.611
16600.000,17.528,94527.600,-9.950
20000.000,17.502,94141.800,-11.945
24000.000,17.468,92471.900,-14.124
25000.000,17.462,92194.900,-14.649
30000.000,17.459,91772.200,-17.596
32000.000,17.448,91043.900,-18.637
33300.000,17.438,90655.800,-19.318
40000.000,17.402,88262.500,-22.711
48000.000,17.380,85500.800,-26.624
50000.000,17.369,84743.300,-27.549
60000.000,17.347,80824.200,-31.913
64000.000,17.336,79484.900,-33.655
66600.000,17.321,78390.300,-34.646
80000.000,17.297,73503.000,-39.724
96000.000,17.274,67650.300,-44.812
100000.000,17.269,66081.200,-45.833
120000.000,17.246,59565.400,-50.783
125000.000,17.235,58102.200,-51.883
150000.000,17.186,51592.000,-56.717
160000.000,17.170,49241.300,-58.234
166000.000,17.159,47949.900,-59.131
200000.000,17.114,41577.900,-63.419
240000.000,17.101,35752.300,-67.222
250000.000,17.098,34531.800,-68.056
300000.000,17.075,29430.900,-71.320
320000.000,17.052,27782.300,-72.259
333000.000,17.037,26813.500,-72.895
400000.000,16.979,22699.600,-75.601
480000.000,17.008,19047.300,-77.678
500000.000,17.015,18302.200,-78.027
600000.000,17.002,15355.800,-79.786
640000.000,17.002,14420.300,-80.330
666000.000,17.001,13869.400,-80.609
800000.000,17.006,11584.900,-81.977
960000.000,17.037,9660.860,-83.070
1000000.000,17.061,9265.720,-83.316
#,#,#,#
