Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,62.908,6078.040,-0.135
1200.000,55.930,6076.860,-0.145
1250.000,54.692,6077.220,-0.147
1500.000,49.324,6076.220,-0.159
1600.000,48.092,6076.340,-0.165
1660.000,47.524,6076.150,-0.168
2000.000,44.101,6075.370,-0.189
2400.000,40.960,6073.760,-0.210
2500.000,39.532,6072.910,-0.214
3000.000,36.840,6070.150,-0.241
3200.000,35.941,6071.200,-0.251
3330.000,35.431,6070.930,-0.258
4000.000,33.445,6063.710,-0.293
4800.000,31.372,6063.930,-0.330
5000.000,31.022,6063.540,-0.339
6000.000,29.273,6059.060,-0.385
6400.000,28.733,6059.810,-0.403
6660.000,28.397,6060.000,-0.416
8000.000,27.074,6057.310,-0.474
9600.000,26.010,6054.850,-0.547
10000.000,25.760,6055.240,-0.564
12000.000,24.691,6051.690,-0.647
12500.000,24.499,6053.170,-0.670
15000.000,23.701,6049.520,-0.774
16000.000,23.412,6048.370,-0.816
16600.000,23.255,6047.980,-0.840
20000.000,22.502,6045.430,-0.980
24000.000,21.836,6042.380,-1.141
25000.000,21.692,6040.820,-1.180
30000.000,21.152,6037.940,-1.379
32000.000,20.962,6036.570,-1.458
33300.000,20.849,6032.810,-1.508
40000.000,20.350,6029.310,-1.767
48000.000,19.919,6027.110,-2.075
50000.000,19.827,6026.410,-2.151
60000.000,19.454,6019.160,-2.530
64000.000,19.328,6018.650,-2.681
66600.000,19.248,6016.850,-2.778
80000.000,18.920,6007.480,-3.275
96000.000,18.634,5997.620,-3.865
100000.000,18.574,5994.130,-4.011
120000.000,18.325,5981.530,-4.741
125000.000,18.268,5977.160,-4.919
150000.000,18.025,5961.690,-5.812
160000.000,17.943,5953.950,-6.164
166000.000,17.897,5950.490,-6.376
200000.000,17.685,5923.650,-7.564
240000.000,17.524,5889.360,-8.952
250000.000,17.491,5882.150,-9.299
300000.000,17.339,5837.530,-11.001
320000.000,17.273,5821.830,-11.666
333000.000,17.232,5808.540,-12.090
400000.000,17.063,5741.710,-14.255
480000.000,16.994,5645.810,-16.819
500000.000,16.979,5621.530,-17.448
600000.000,16.874,5492.600,-20.447
640000.000,16.844,5439.330,-21.617
666000.000,16.825,5404.200,-22.363
800000.000,16.750,5210.950,-26.019
960000.000,16.703,4972.700,-30.060
1000000.000,16.710,4912.470,-31.043
#,#,#,#
