Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.864,9434920.000,-88.418
1200.000,16.620,7976690.000,-88.673
1250.000,16.481,7724150.000,-88.400
1500.000,15.753,6732990.000,-88.455
1600.000,15.961,6229630.000,-88.850
1660.000,16.076,5962280.000,-89.032
2000.000,16.615,4787750.000,-89.641
2400.000,16.707,3971140.000,-89.424
2500.000,16.721,3806620.000,-89.417
3000.000,16.719,3173230.000,-89.567
3200.000,16.740,2970960.000,-89.506
3330.000,16.754,2852760.000,-89.474
4000.000,16.815,2366600.000,-89.450
4800.000,16.701,1984980.000,-89.522
5000.000,16.682,1908140.000,-89.623
6000.000,16.657,1592490.000,-89.594
6400.000,16.640,1494530.000,-89.578
6660.000,16.630,1437030.000,-89.568
8000.000,16.586,1199400.000,-89.517
9600.000,16.647,995859.000,-89.564
10000.000,16.660,955366.000,-89.565
12000.000,16.560,800929.000,-89.538
12500.000,16.574,768233.000,-89.537
15000.000,16.627,638166.000,-89.520
16000.000,16.622,598461.000,-89.512
16600.000,16.618,576939.000,-89.507
20000.000,16.603,479309.000,-89.482
24000.000,16.578,400012.000,-89.444
25000.000,16.573,384137.000,-89.433
30000.000,16.573,320099.000,-89.435
32000.000,16.562,300302.000,-89.421
33300.000,16.555,288695.000,-89.413
40000.000,16.523,240799.000,-89.369
48000.000,16.505,200896.000,-89.339
50000.000,16.500,192911.000,-89.333
60000.000,16.486,160896.000,-89.308
64000.000,16.477,150922.000,-89.298
66600.000,16.471,145081.000,-89.293
80000.000,16.444,120979.000,-89.276
96000.000,16.424,100941.000,-89.254
100000.000,16.420,96923.100,-89.240
120000.000,16.402,80859.400,-89.183
125000.000,16.391,77673.400,-89.181
150000.000,16.349,64894.600,-89.181
160000.000,16.333,60897.800,-89.152
166000.000,16.325,58728.000,-89.134
200000.000,16.285,48865.200,-89.031
240000.000,16.276,40740.600,-89.127
250000.000,16.275,39114.000,-89.148
300000.000,16.256,32632.200,-89.130
320000.000,16.233,30636.200,-89.143
333000.000,16.220,29464.900,-89.154
400000.000,16.164,24612.500,-89.220
480000.000,16.199,20466.900,-89.075
500000.000,16.207,19639.000,-89.050
600000.000,16.196,16376.100,-89.022
640000.000,16.197,15352.100,-89.014
666000.000,16.198,14752.200,-89.008
800000.000,16.205,12275.500,-88.980
960000.000,16.236,10210.100,-88.937
1000000.000,16.261,9786.870,-88.956
#,#,#,#
