Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.007,9917320.000,-85.569
1200.000,15.712,8423180.000,-86.077
1250.000,15.561,8161090.000,-85.827
1500.000,14.792,7157400.000,-86.023
1600.000,14.986,6628290.000,-86.582
1660.000,15.094,6344330.000,-86.850
2000.000,15.599,5099140.000,-87.777
2400.000,15.657,4237320.000,-87.757
2500.000,15.658,4063500.000,-87.788
3000.000,15.622,3395020.000,-88.103
3200.000,15.634,3179820.000,-88.094
3330.000,15.643,3054300.000,-88.097
4000.000,15.675,2537530.000,-88.222
4800.000,15.539,2132890.000,-88.401
5000.000,15.514,2051350.000,-88.535
6000.000,15.467,1714550.000,-88.616
6400.000,15.442,1609970.000,-88.634
6660.000,15.429,1548600.000,-88.643
8000.000,15.370,1294380.000,-88.673
9600.000,15.415,1075420.000,-88.804
10000.000,15.423,1031940.000,-88.832
12000.000,15.310,866375.000,-88.867
12500.000,15.321,831107.000,-88.882
15000.000,15.363,690782.000,-88.930
16000.000,15.353,647979.000,-88.938
16600.000,15.347,624809.000,-88.947
20000.000,15.320,519497.000,-88.971
24000.000,15.286,433867.000,-88.977
25000.000,15.279,416721.000,-88.976
30000.000,15.271,347417.000,-89.015
32000.000,15.257,325959.000,-89.007
33300.000,15.248,313379.000,-89.003
40000.000,15.210,261545.000,-88.991
48000.000,15.184,218317.000,-88.991
50000.000,15.178,209659.000,-88.990
60000.000,15.158,174952.000,-88.994
64000.000,15.147,164161.000,-88.998
66600.000,15.140,157832.000,-88.999
80000.000,15.109,131669.000,-89.006
96000.000,15.085,109904.000,-88.999
100000.000,15.080,105543.000,-88.993
120000.000,15.057,88083.600,-88.953
125000.000,15.046,84620.000,-88.953
150000.000,15.001,70732.400,-88.970
160000.000,14.984,66385.800,-88.944
166000.000,14.975,64025.800,-88.928
200000.000,14.931,53296.200,-88.833
240000.000,14.921,44446.000,-88.950
250000.000,14.918,42674.100,-88.975
300000.000,14.898,35611.300,-88.969
320000.000,14.874,33439.500,-88.986
333000.000,14.859,32165.100,-88.997
400000.000,14.803,26882.300,-89.082
480000.000,14.833,22353.400,-88.936
500000.000,14.840,21449.200,-88.912
600000.000,14.827,17890.700,-88.891
640000.000,14.826,16773.500,-88.887
666000.000,14.825,16119.300,-88.883
800000.000,14.827,13416.900,-88.865
960000.000,14.854,11160.500,-88.835
1000000.000,14.878,10697.400,-88.857
#,#,#,#
