Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.794,9475770.000,-88.040
1200.000,16.537,8018650.000,-88.282
1250.000,16.391,7765010.000,-88.014
1500.000,15.654,6775660.000,-88.061
1600.000,15.859,6271460.000,-88.476
1660.000,15.974,6002850.000,-88.673
2000.000,16.503,4822680.000,-89.287
2400.000,16.587,3998300.000,-89.115
2500.000,16.591,3837740.000,-89.089
3000.000,16.575,3201080.000,-89.238
3200.000,16.593,2997720.000,-89.178
3330.000,16.605,2878600.000,-89.146
4000.000,16.652,2389600.000,-89.143
4800.000,16.530,2006100.000,-89.209
5000.000,16.509,1928480.000,-89.318
6000.000,16.474,1610470.000,-89.299
6400.000,16.453,1511690.000,-89.286
6660.000,16.440,1453770.000,-89.279
8000.000,16.388,1214180.000,-89.235
9600.000,16.439,1008630.000,-89.285
10000.000,16.450,967659.000,-89.296
12000.000,16.342,811695.000,-89.278
12500.000,16.354,778677.000,-89.276
15000.000,16.398,647120.000,-89.269
16000.000,16.391,606950.000,-89.264
16600.000,16.386,585199.000,-89.260
20000.000,16.362,486409.000,-89.243
24000.000,16.331,406122.000,-89.209
25000.000,16.323,390049.000,-89.202
30000.000,16.317,325161.000,-89.212
32000.000,16.303,305100.000,-89.199
33300.000,16.295,293338.000,-89.192
40000.000,16.257,244781.000,-89.154
48000.000,16.232,204298.000,-89.129
50000.000,16.226,196197.000,-89.124
60000.000,16.205,163702.000,-89.103
64000.000,16.194,153577.000,-89.095
66600.000,16.187,147644.000,-89.091
80000.000,16.155,123162.000,-89.078
96000.000,16.129,102806.000,-89.056
100000.000,16.123,98720.100,-89.046
120000.000,16.099,82390.400,-88.993
125000.000,16.088,79148.900,-88.990
150000.000,16.040,66154.800,-88.994
160000.000,16.022,62088.400,-88.965
166000.000,16.012,59881.000,-88.947
200000.000,15.966,49842.000,-88.846
240000.000,15.953,41572.100,-88.946
250000.000,15.951,39915.600,-88.968
300000.000,15.926,33312.200,-88.954
320000.000,15.902,31279.100,-88.966
333000.000,15.887,30086.600,-88.978
400000.000,15.827,25143.500,-89.045
480000.000,15.856,20913.000,-88.903
500000.000,15.862,20068.100,-88.878
600000.000,15.846,16739.900,-88.852
640000.000,15.845,15694.900,-88.845
666000.000,15.844,15082.900,-88.840
800000.000,15.846,12554.900,-88.814
960000.000,15.871,10446.000,-88.773
1000000.000,15.894,10013.500,-88.793
#,#,#,#
