Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.616,10879600.000,-88.252
1200.000,14.386,9218010.000,-88.507
1250.000,14.240,8939540.000,-88.181
1500.000,13.514,7846400.000,-88.228
1600.000,13.725,7246060.000,-88.696
1660.000,13.842,6926180.000,-88.922
2000.000,14.384,5533070.000,-89.615
2400.000,14.479,4586300.000,-89.409
2500.000,14.487,4394860.000,-89.365
3000.000,14.481,3663450.000,-89.529
3200.000,14.504,3428990.000,-89.454
3330.000,14.517,3291910.000,-89.430
4000.000,14.578,2728930.000,-89.402
4800.000,14.467,2291980.000,-89.477
5000.000,14.447,2203340.000,-89.597
6000.000,14.423,1839180.000,-89.564
6400.000,14.406,1726280.000,-89.548
6660.000,14.396,1660030.000,-89.537
8000.000,14.354,1386050.000,-89.478
9600.000,14.416,1150040.000,-89.529
10000.000,14.427,1103240.000,-89.537
12000.000,14.329,925651.000,-89.509
12500.000,14.342,887776.000,-89.508
15000.000,14.397,737024.000,-89.495
16000.000,14.392,691154.000,-89.485
16600.000,14.389,666343.000,-89.480
20000.000,14.374,553611.000,-89.455
24000.000,14.352,462063.000,-89.413
25000.000,14.347,443741.000,-89.404
30000.000,14.349,369732.000,-89.411
32000.000,14.338,346881.000,-89.395
33300.000,14.332,333490.000,-89.386
40000.000,14.302,278205.000,-89.340
48000.000,14.285,232108.000,-89.309
50000.000,14.281,222890.000,-89.303
60000.000,14.269,185894.000,-89.277
64000.000,14.261,174379.000,-89.267
66600.000,14.255,167633.000,-89.262
80000.000,14.232,139789.000,-89.246
96000.000,14.213,116640.000,-89.223
100000.000,14.210,111995.000,-89.208
120000.000,14.194,93434.700,-89.146
125000.000,14.184,89758.500,-89.142
150000.000,14.145,75008.500,-89.147
160000.000,14.130,70395.700,-89.113
166000.000,14.121,67890.400,-89.094
200000.000,14.083,56501.600,-88.979
240000.000,14.077,47104.000,-89.092
250000.000,14.077,45222.300,-89.116
300000.000,14.061,37727.800,-89.099
320000.000,14.038,35427.600,-89.113
333000.000,14.025,34076.300,-89.123
400000.000,13.972,28477.200,-89.206
480000.000,14.006,23672.000,-89.040
500000.000,14.014,22712.300,-89.011
600000.000,14.003,18941.200,-88.979
640000.000,14.003,17757.400,-88.973
666000.000,14.003,17064.400,-88.965
800000.000,14.007,14201.500,-88.932
960000.000,14.032,11813.500,-88.879
1000000.000,14.054,11323.100,-88.899
#,#,#,#
