Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.315,11109700.000,-88.185
1200.000,14.075,9421090.000,-88.465
1250.000,13.931,9135310.000,-88.146
1500.000,13.211,8029780.000,-88.202
1600.000,13.419,7412740.000,-88.678
1660.000,13.533,7084410.000,-88.905
2000.000,14.078,5654160.000,-89.613
2400.000,14.153,4678860.000,-89.397
2500.000,14.180,4489640.000,-89.364
3000.000,14.176,3742680.000,-89.525
3200.000,14.198,3503060.000,-89.456
3330.000,14.214,3363170.000,-89.417
4000.000,14.272,2787510.000,-89.397
4800.000,14.164,2341180.000,-89.475
5000.000,14.142,2251040.000,-89.596
6000.000,14.118,1879000.000,-89.568
6400.000,14.101,1763600.000,-89.552
6660.000,14.091,1696040.000,-89.540
8000.000,14.049,1416080.000,-89.481
9600.000,14.112,1174810.000,-89.540
10000.000,14.123,1127000.000,-89.546
12000.000,14.026,945709.000,-89.518
12500.000,14.039,906956.000,-89.517
15000.000,14.094,752864.000,-89.503
16000.000,14.090,706029.000,-89.493
16600.000,14.087,680644.000,-89.489
20000.000,14.073,565475.000,-89.465
24000.000,14.051,471973.000,-89.424
25000.000,14.046,453250.000,-89.413
30000.000,14.049,377628.000,-89.422
32000.000,14.039,354291.000,-89.405
33300.000,14.032,340614.000,-89.397
40000.000,14.003,284150.000,-89.350
48000.000,13.987,237057.000,-89.320
50000.000,13.983,227641.000,-89.313
60000.000,13.972,189847.000,-89.287
64000.000,13.964,178089.000,-89.277
66600.000,13.959,171200.000,-89.272
80000.000,13.936,142758.000,-89.255
96000.000,13.918,119117.000,-89.228
100000.000,13.916,114372.000,-89.217
120000.000,13.900,95417.500,-89.155
125000.000,13.891,91660.100,-89.151
150000.000,13.852,76599.300,-89.155
160000.000,13.837,71888.000,-89.121
166000.000,13.829,69329.500,-89.102
200000.000,13.792,57697.000,-88.987
240000.000,13.786,48101.400,-89.100
250000.000,13.786,46180.500,-89.124
300000.000,13.771,38525.400,-89.106
320000.000,13.748,36177.200,-89.122
333000.000,13.735,34797.500,-89.132
400000.000,13.681,29080.800,-89.212
480000.000,13.717,24171.700,-89.049
500000.000,13.725,23191.400,-89.020
600000.000,13.715,19340.400,-88.990
640000.000,13.714,18131.900,-88.984
666000.000,13.714,17424.100,-88.975
800000.000,13.719,14500.600,-88.948
960000.000,13.744,12061.700,-88.903
1000000.000,13.766,11560.700,-88.927
#,#,#,#
