Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.480,9101780.000,-88.158
1200.000,17.224,7697620.000,-88.397
1250.000,17.082,7451210.000,-88.126
1500.000,16.344,6488900.000,-88.163
1600.000,16.550,6009420.000,-88.562
1660.000,16.661,5753310.000,-88.754
2000.000,17.194,4628240.000,-89.344
2400.000,17.262,3838300.000,-89.145
2500.000,17.284,3682960.000,-89.143
3000.000,17.270,3072250.000,-89.287
3200.000,17.289,2877020.000,-89.225
3330.000,17.300,2762760.000,-89.198
4000.000,17.349,2293330.000,-89.188
4800.000,17.227,1924980.000,-89.260
5000.000,17.204,1850240.000,-89.355
6000.000,17.170,1545000.000,-89.334
6400.000,17.149,1450140.000,-89.320
6660.000,17.137,1394510.000,-89.311
8000.000,17.084,1164420.000,-89.265
9600.000,17.138,967532.000,-89.316
10000.000,17.146,928247.000,-89.320
12000.000,17.039,778446.000,-89.296
12500.000,17.050,746801.000,-89.296
15000.000,17.095,620712.000,-89.286
16000.000,17.087,582181.000,-89.278
16600.000,17.081,561312.000,-89.276
20000.000,17.058,466541.000,-89.254
24000.000,17.025,389527.000,-89.220
25000.000,17.018,374096.000,-89.212
30000.000,17.011,311875.000,-89.216
32000.000,16.997,292625.000,-89.204
33300.000,16.988,281348.000,-89.195
40000.000,16.948,234766.000,-89.156
48000.000,16.922,195940.000,-89.129
50000.000,16.916,188172.000,-89.123
60000.000,16.895,157010.000,-89.100
64000.000,16.883,147299.000,-89.091
66600.000,16.875,141609.000,-89.087
80000.000,16.841,118131.000,-89.071
96000.000,16.812,98600.100,-89.048
100000.000,16.808,94690.000,-89.037
120000.000,16.782,79030.700,-88.984
125000.000,16.770,75922.000,-88.981
150000.000,16.720,63454.700,-88.983
160000.000,16.702,59554.200,-88.954
166000.000,16.691,57437.500,-88.937
200000.000,16.644,47808.100,-88.836
240000.000,16.629,39877.100,-88.932
250000.000,16.626,38289.000,-88.953
300000.000,16.600,31956.600,-88.936
320000.000,16.575,30005.600,-88.952
333000.000,16.560,28860.400,-88.960
400000.000,16.498,24117.300,-89.022
480000.000,16.526,20062.100,-88.884
500000.000,16.532,19252.500,-88.859
600000.000,16.516,16059.200,-88.832
640000.000,16.515,15056.700,-88.824
666000.000,16.514,14469.400,-88.818
800000.000,16.516,12044.100,-88.789
960000.000,16.544,10020.000,-88.740
1000000.000,16.567,9605.630,-88.756
#,#,#,#
