Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.479,9097810.000,-88.163
1200.000,17.227,7695060.000,-88.397
1250.000,17.083,7450150.000,-88.131
1500.000,16.349,6486030.000,-88.178
1600.000,16.554,6007600.000,-88.569
1660.000,16.668,5751210.000,-88.766
2000.000,17.200,4626620.000,-89.347
2400.000,17.286,3840790.000,-89.175
2500.000,17.290,3682080.000,-89.145
3000.000,17.275,3071060.000,-89.290
3200.000,17.294,2876010.000,-89.231
3330.000,17.305,2762050.000,-89.202
4000.000,17.356,2292910.000,-89.189
4800.000,17.236,1924200.000,-89.250
5000.000,17.212,1849670.000,-89.354
6000.000,17.176,1544500.000,-89.332
6400.000,17.156,1449750.000,-89.317
6660.000,17.144,1394170.000,-89.310
8000.000,17.092,1164120.000,-89.256
9600.000,17.144,967136.000,-89.303
10000.000,17.152,927989.000,-89.316
12000.000,17.044,778224.000,-89.291
12500.000,17.056,746578.000,-89.292
15000.000,17.100,620546.000,-89.281
16000.000,17.093,582024.000,-89.274
16600.000,17.087,561159.000,-89.269
20000.000,17.063,466431.000,-89.248
24000.000,17.029,389440.000,-89.213
25000.000,17.020,374024.000,-89.206
30000.000,17.012,311810.000,-89.210
32000.000,16.999,292563.000,-89.198
33300.000,16.990,281290.000,-89.189
40000.000,16.951,234721.000,-89.150
48000.000,16.924,195909.000,-89.123
50000.000,16.918,188142.000,-89.117
60000.000,16.896,156985.000,-89.095
64000.000,16.884,147276.000,-89.087
66600.000,16.877,141589.000,-89.082
80000.000,16.842,118114.000,-89.067
96000.000,16.814,98591.000,-89.048
100000.000,16.809,94676.900,-89.034
120000.000,16.782,79020.700,-88.982
125000.000,16.771,75912.600,-88.978
150000.000,16.721,63447.300,-88.981
160000.000,16.703,59546.700,-88.952
166000.000,16.692,57430.200,-88.935
200000.000,16.645,47800.700,-88.834
240000.000,16.630,39872.200,-88.932
250000.000,16.627,38284.600,-88.952
300000.000,16.601,31952.200,-88.936
320000.000,16.575,30001.900,-88.951
333000.000,16.561,28856.800,-88.960
400000.000,16.498,24113.700,-89.025
480000.000,16.527,20060.000,-88.883
500000.000,16.533,19250.400,-88.859
600000.000,16.516,16057.800,-88.831
640000.000,16.515,15055.500,-88.822
666000.000,16.514,14468.400,-88.816
800000.000,16.515,12044.100,-88.784
960000.000,16.541,10020.900,-88.733
1000000.000,16.564,9606.780,-88.749
#,#,#,#
