Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.563,9023350.000,-84.793
1200.000,17.227,7673120.000,-85.226
1250.000,17.064,7434470.000,-84.971
1500.000,16.247,6507430.000,-85.088
1600.000,16.426,6040280.000,-85.594
1660.000,16.523,5788900.000,-85.845
2000.000,16.979,4680370.000,-86.713
2400.000,16.986,3902020.000,-86.708
2500.000,16.978,3744180.000,-86.721
3000.000,16.895,3136650.000,-87.021
3200.000,16.889,2941470.000,-87.018
3330.000,16.887,2826870.000,-87.021
4000.000,16.872,2355290.000,-87.159
4800.000,16.693,1984510.000,-87.353
5000.000,16.658,1909150.000,-87.481
6000.000,16.570,1599530.000,-87.585
6400.000,16.533,1503120.000,-87.617
6660.000,16.509,1446510.000,-87.636
8000.000,16.409,1211570.000,-87.705
9600.000,16.419,1009390.000,-87.887
10000.000,16.418,968942.000,-87.919
12000.000,16.270,814790.000,-88.002
12500.000,16.273,782046.000,-88.027
15000.000,16.283,651343.000,-88.130
16000.000,16.264,611356.000,-88.160
16600.000,16.252,589689.000,-88.176
20000.000,16.199,491101.000,-88.262
24000.000,16.141,410709.000,-88.322
25000.000,16.129,394589.000,-88.336
30000.000,16.101,329415.000,-88.437
32000.000,16.080,309227.000,-88.454
33300.000,16.067,297382.000,-88.465
40000.000,16.012,248432.000,-88.507
48000.000,15.972,207543.000,-88.559
50000.000,15.963,199350.000,-88.570
60000.000,15.931,166463.000,-88.618
64000.000,15.916,156205.000,-88.633
66600.000,15.907,150193.000,-88.643
80000.000,15.866,125360.000,-88.690
96000.000,15.833,104681.000,-88.725
100000.000,15.827,100538.000,-88.723
120000.000,15.798,83937.700,-88.717
125000.000,15.786,80639.500,-88.724
150000.000,15.735,67420.300,-88.769
160000.000,15.716,63281.300,-88.754
166000.000,15.705,61034.200,-88.743
200000.000,15.658,50810.900,-88.674
240000.000,15.643,42386.500,-88.809
250000.000,15.640,40696.500,-88.837
300000.000,15.616,33966.100,-88.849
320000.000,15.591,31895.200,-88.871
333000.000,15.576,30678.500,-88.886
400000.000,15.516,25637.800,-88.982
480000.000,15.546,21324.400,-88.854
500000.000,15.552,20462.400,-88.833
600000.000,15.537,17068.400,-88.823
640000.000,15.537,16002.500,-88.822
666000.000,15.536,15378.600,-88.820
800000.000,15.539,12800.100,-88.808
960000.000,15.564,10649.300,-88.779
1000000.000,15.587,10208.400,-88.802
#,#,#,#
