Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,18.579,8533480.000,-85.400
1200.000,18.265,7239060.000,-85.863
1250.000,18.106,7010210.000,-85.638
1500.000,17.310,6110680.000,-85.832
1600.000,17.498,5671740.000,-86.304
1660.000,17.597,5436560.000,-86.548
2000.000,18.079,4395920.000,-87.368
2400.000,18.096,3660060.000,-87.416
2500.000,18.111,3511590.000,-87.408
3000.000,18.052,2936620.000,-87.701
3200.000,18.055,2752990.000,-87.700
3330.000,18.058,2644800.000,-87.710
4000.000,18.071,2200650.000,-87.824
4800.000,17.915,1850460.000,-88.010
5000.000,17.881,1779390.000,-88.119
6000.000,17.814,1488460.000,-88.204
6400.000,17.782,1397880.000,-88.222
6660.000,17.763,1344740.000,-88.235
8000.000,17.683,1124590.000,-88.272
9600.000,17.706,935864.000,-88.403
10000.000,17.711,898282.000,-88.432
12000.000,17.579,754199.000,-88.477
12500.000,17.586,723763.000,-88.491
15000.000,17.608,602371.000,-88.548
16000.000,17.593,565218.000,-88.561
16600.000,17.584,545072.000,-88.568
20000.000,17.540,453555.000,-88.605
24000.000,17.490,379053.000,-88.620
25000.000,17.478,364132.000,-88.622
30000.000,17.455,303865.000,-88.672
32000.000,17.435,285197.000,-88.674
33300.000,17.422,274254.000,-88.675
40000.000,17.368,229035.000,-88.676
48000.000,17.327,191307.000,-88.686
50000.000,17.318,183756.000,-88.687
60000.000,17.284,153434.000,-88.697
64000.000,17.268,143978.000,-88.700
66600.000,17.258,138438.000,-88.702
80000.000,17.212,115558.000,-88.716
96000.000,17.174,96517.200,-88.721
100000.000,17.166,92692.000,-88.716
120000.000,17.130,77406.700,-88.689
125000.000,17.117,74368.300,-88.691
150000.000,17.059,62185.600,-88.716
160000.000,17.037,58371.600,-88.695
166000.000,17.025,56302.200,-88.683
200000.000,16.970,46882.500,-88.606
240000.000,16.948,39121.000,-88.719
250000.000,16.943,37567.100,-88.742
300000.000,16.911,31364.400,-88.743
320000.000,16.884,29452.900,-88.764
333000.000,16.867,28330.400,-88.775
400000.000,16.800,23679.800,-88.850
480000.000,16.822,19707.400,-88.727
500000.000,16.826,18913.600,-88.706
600000.000,16.804,15782.100,-88.689
640000.000,16.801,14799.000,-88.684
666000.000,16.799,14223.000,-88.680
800000.000,16.793,11844.700,-88.660
960000.000,16.811,9859.820,-88.621
1000000.000,16.832,9453.650,-88.639
#,#,#,#
