Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.924,8876140.000,-88.100
1200.000,17.666,7504870.000,-88.335
1250.000,17.519,7264180.000,-88.070
1500.000,16.779,6320440.000,-88.127
1600.000,16.984,5855220.000,-88.505
1660.000,17.096,5606330.000,-88.701
2000.000,17.628,4514710.000,-89.276
2400.000,17.708,3748340.000,-89.126
2500.000,17.712,3593780.000,-89.088
3000.000,17.696,2998300.000,-89.229
3200.000,17.712,2807950.000,-89.171
3330.000,17.724,2696440.000,-89.144
4000.000,17.768,2239250.000,-89.131
4800.000,17.648,1878960.000,-89.216
5000.000,17.623,1806200.000,-89.303
6000.000,17.586,1508350.000,-89.286
6400.000,17.565,1415780.000,-89.274
6660.000,17.553,1361500.000,-89.266
8000.000,17.498,1136950.000,-89.219
9600.000,17.547,944703.000,-89.272
10000.000,17.557,906532.000,-89.282
12000.000,17.447,760144.000,-89.262
12500.000,17.459,729291.000,-89.261
15000.000,17.502,606259.000,-89.253
16000.000,17.493,568636.000,-89.247
16600.000,17.488,548263.000,-89.244
20000.000,17.462,455719.000,-89.226
24000.000,17.428,380496.000,-89.193
25000.000,17.421,365441.000,-89.186
30000.000,17.413,304679.000,-89.192
32000.000,17.398,285876.000,-89.181
33300.000,17.389,274860.000,-89.174
40000.000,17.348,229358.000,-89.136
48000.000,17.321,191433.000,-89.112
50000.000,17.314,183849.000,-89.106
60000.000,17.291,153405.000,-89.085
64000.000,17.279,143917.000,-89.077
66600.000,17.271,138361.000,-89.073
80000.000,17.236,115423.000,-89.058
96000.000,17.207,96347.700,-89.039
100000.000,17.200,92529.000,-89.027
120000.000,17.174,77223.600,-88.976
125000.000,17.163,74184.400,-88.973
150000.000,17.112,62001.500,-88.975
160000.000,17.093,58191.400,-88.947
166000.000,17.083,56122.200,-88.930
200000.000,17.035,46710.900,-88.831
240000.000,17.019,38963.600,-88.925
250000.000,17.015,37413.900,-88.944
300000.000,16.989,31225.200,-88.927
320000.000,16.964,29318.600,-88.941
333000.000,16.948,28198.900,-88.950
400000.000,16.885,23564.400,-89.007
480000.000,16.912,19605.000,-88.868
500000.000,16.918,18814.300,-88.844
600000.000,16.901,15695.300,-88.811
640000.000,16.898,14716.500,-88.801
666000.000,16.897,14143.100,-88.793
800000.000,16.894,11775.900,-88.758
960000.000,16.915,9801.210,-88.706
1000000.000,16.936,9397.350,-88.722
#,#,#,#
