Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.136,9857030.000,-87.842
1200.000,15.878,8348380.000,-88.112
1250.000,15.734,8086500.000,-87.822
1500.000,14.991,7072200.000,-87.867
1600.000,15.193,6542880.000,-88.313
1660.000,15.308,6259950.000,-88.518
2000.000,15.838,5023980.000,-89.181
2400.000,15.913,4166380.000,-88.962
2500.000,15.923,3996730.000,-88.984
3000.000,15.906,3334760.000,-89.148
3200.000,15.925,3122820.000,-89.089
3330.000,15.935,2998580.000,-89.062
4000.000,15.983,2488830.000,-89.059
4800.000,15.862,2090240.000,-89.150
5000.000,15.838,2009500.000,-89.248
6000.000,15.802,1678300.000,-89.235
6400.000,15.781,1575500.000,-89.222
6660.000,15.769,1515210.000,-89.215
8000.000,15.716,1265700.000,-89.171
9600.000,15.769,1051280.000,-89.242
10000.000,15.777,1008590.000,-89.245
12000.000,15.668,846327.000,-89.230
12500.000,15.680,811834.000,-89.231
15000.000,15.725,674612.000,-89.230
16000.000,15.717,632761.000,-89.224
16600.000,15.712,610096.000,-89.222
20000.000,15.689,507147.000,-89.209
24000.000,15.657,423473.000,-89.181
25000.000,15.650,406725.000,-89.173
30000.000,15.644,339078.000,-89.189
32000.000,15.630,318162.000,-89.177
33300.000,15.622,305903.000,-89.171
40000.000,15.585,255285.000,-89.137
48000.000,15.560,213076.000,-89.118
50000.000,15.554,204625.000,-89.113
60000.000,15.535,170734.000,-89.097
64000.000,15.524,160179.000,-89.091
66600.000,15.517,153994.000,-89.088
80000.000,15.486,128457.000,-89.080
96000.000,15.461,107225.000,-89.063
100000.000,15.457,102961.000,-89.053
120000.000,15.434,85925.200,-89.002
125000.000,15.423,82545.700,-89.001
150000.000,15.377,68993.100,-89.010
160000.000,15.360,64751.800,-88.982
166000.000,15.351,62449.100,-88.965
200000.000,15.307,51977.400,-88.863
240000.000,15.296,43350.600,-88.972
250000.000,15.294,41623.200,-88.996
300000.000,15.273,34733.400,-88.985
320000.000,15.248,32615.000,-88.999
333000.000,15.234,31371.200,-89.010
400000.000,15.176,26218.100,-89.089
480000.000,15.207,21802.600,-88.942
500000.000,15.214,20921.000,-88.917
600000.000,15.200,17450.100,-88.892
640000.000,15.199,16360.200,-88.887
666000.000,15.199,15722.000,-88.882
800000.000,15.202,13085.600,-88.856
960000.000,15.227,10886.300,-88.813
1000000.000,15.250,10435.500,-88.833
#,#,#,#
