Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.673,9000930.000,-88.204
1200.000,17.418,7611540.000,-88.444
1250.000,17.278,7367850.000,-88.168
1500.000,16.543,6412150.000,-88.218
1600.000,16.746,5938750.000,-88.612
1660.000,16.859,5685550.000,-88.791
2000.000,17.395,4574770.000,-89.374
2400.000,17.474,3795610.000,-89.237
2500.000,17.484,3641090.000,-89.185
3000.000,17.470,3036730.000,-89.320
3200.000,17.489,2843590.000,-89.262
3330.000,17.501,2731090.000,-89.234
4000.000,17.551,2267190.000,-89.217
4800.000,17.431,1901970.000,-89.293
5000.000,17.408,1828500.000,-89.385
6000.000,17.375,1526760.000,-89.362
6400.000,17.355,1432980.000,-89.349
6660.000,17.343,1377980.000,-89.339
8000.000,17.290,1150560.000,-89.294
9600.000,17.345,955956.000,-89.338
10000.000,17.353,917184.000,-89.345
12000.000,17.246,769072.000,-89.324
12500.000,17.258,737791.000,-89.321
15000.000,17.303,613223.000,-89.309
16000.000,17.295,575146.000,-89.301
16600.000,17.290,554526.000,-89.298
20000.000,17.266,460876.000,-89.276
24000.000,17.234,384782.000,-89.240
25000.000,17.227,369539.000,-89.231
30000.000,17.221,308069.000,-89.235
32000.000,17.206,289049.000,-89.222
33300.000,17.198,277905.000,-89.213
40000.000,17.159,231885.000,-89.173
48000.000,17.132,193532.000,-89.146
50000.000,17.126,185859.000,-89.139
60000.000,17.105,155074.000,-89.115
64000.000,17.093,145481.000,-89.106
66600.000,17.086,139861.000,-89.101
80000.000,17.051,116670.000,-89.084
96000.000,17.023,97379.800,-89.059
100000.000,17.018,93515.400,-89.050
120000.000,16.992,78049.100,-88.998
125000.000,16.980,74978.100,-88.993
150000.000,16.931,62664.600,-88.993
160000.000,16.912,58812.000,-88.966
166000.000,16.902,56720.900,-88.948
200000.000,16.855,47210.500,-88.851
240000.000,16.839,39378.000,-88.942
250000.000,16.836,37809.700,-88.962
300000.000,16.811,31555.900,-88.945
320000.000,16.785,29628.700,-88.959
333000.000,16.770,28497.400,-88.968
400000.000,16.708,23811.600,-89.027
480000.000,16.736,19809.400,-88.891
500000.000,16.743,19010.000,-88.866
600000.000,16.727,15856.500,-88.838
640000.000,16.725,14866.700,-88.828
666000.000,16.725,14287.200,-88.821
800000.000,16.727,11892.700,-88.789
960000.000,16.754,9894.500,-88.737
1000000.000,16.777,9485.580,-88.752
#,#,#,#
