Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.035,9828650.000,-81.585
1200.000,15.612,8425880.000,-82.194
1250.000,15.638,8177730.000,-81.949
1500.000,14.753,7240140.000,-82.162
1600.000,14.873,6731860.000,-82.871
1660.000,14.917,6459180.000,-83.223
2000.000,15.280,5234580.000,-84.506
2400.000,15.176,4368750.000,-84.716
2500.000,15.148,4193190.000,-84.692
3000.000,15.031,3525500.000,-85.219
3200.000,15.011,3308930.000,-85.282
3330.000,14.993,3180550.000,-85.322
4000.000,14.945,2657350.000,-85.684
4800.000,14.740,2246890.000,-86.129
5000.000,14.685,2162660.000,-86.284
6000.000,14.588,1815150.000,-86.593
6400.000,14.549,1706610.000,-86.683
6660.000,14.523,1643250.000,-86.757
8000.000,14.423,1378220.000,-87.018
9600.000,14.434,1147900.000,-87.379
10000.000,14.437,1101940.000,-87.451
12000.000,14.299,926414.000,-87.589
12500.000,14.304,888344.000,-87.579
15000.000,14.320,739133.000,-87.786
16000.000,14.307,693871.000,-87.885
16600.000,14.298,669360.000,-87.948
20000.000,14.263,557450.000,-88.199
24000.000,14.222,465895.000,-88.335
25000.000,14.215,447466.000,-88.340
30000.000,14.206,373250.000,-88.511
32000.000,14.191,350318.000,-88.556
33300.000,14.181,336851.000,-88.573
40000.000,14.143,281211.000,-88.647
48000.000,14.119,234751.000,-88.718
50000.000,14.114,225453.000,-88.732
60000.000,14.097,188112.000,-88.787
64000.000,14.086,176485.000,-88.806
66600.000,14.080,169675.000,-88.817
80000.000,14.053,141536.000,-88.864
96000.000,14.032,118122.000,-88.893
100000.000,14.028,113432.000,-88.888
120000.000,14.008,94655.700,-88.872
125000.000,13.999,90931.800,-88.877
150000.000,13.957,76006.100,-88.917
160000.000,13.941,71336.600,-88.895
166000.000,13.933,68799.300,-88.882
200000.000,13.893,57262.200,-88.795
240000.000,13.885,47749.600,-88.936
250000.000,13.884,45844.500,-88.971
300000.000,13.867,38251.200,-88.974
320000.000,13.844,35920.600,-88.996
333000.000,13.831,34551.700,-89.008
400000.000,13.776,28880.100,-89.105
480000.000,13.810,24005.900,-88.957
500000.000,13.817,23033.000,-88.931
600000.000,13.806,19210.100,-88.913
640000.000,13.805,18010.200,-88.912
666000.000,13.805,17307.400,-88.906
800000.000,13.809,14404.500,-88.890
960000.000,13.833,11982.400,-88.855
1000000.000,13.855,11484.800,-88.881
#,#,#,#
