Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,13.753,11570600.000,-88.123
1200.000,13.514,9810640.000,-88.419
1250.000,13.372,9516190.000,-88.069
1500.000,12.645,8386090.000,-88.118
1600.000,12.857,7735210.000,-88.622
1660.000,12.972,7391480.000,-88.859
2000.000,13.516,5888610.000,-89.603
2400.000,13.609,4878760.000,-89.391
2500.000,13.617,4675490.000,-89.338
3000.000,13.615,3897510.000,-89.511
3200.000,13.637,3647980.000,-89.428
3330.000,13.649,3501730.000,-89.392
4000.000,13.712,2902370.000,-89.368
4800.000,13.598,2438580.000,-89.456
5000.000,13.580,2344430.000,-89.576
6000.000,13.556,1957170.000,-89.546
6400.000,13.539,1837100.000,-89.530
6660.000,13.528,1766680.000,-89.516
8000.000,13.486,1475380.000,-89.455
9600.000,13.546,1223980.000,-89.518
10000.000,13.559,1173930.000,-89.522
12000.000,13.462,985372.000,-89.495
12500.000,13.475,944966.000,-89.492
15000.000,13.530,784325.000,-89.479
16000.000,13.526,735532.000,-89.468
16600.000,13.522,709122.000,-89.465
20000.000,13.508,589172.000,-89.440
24000.000,13.487,491792.000,-89.396
25000.000,13.481,472285.000,-89.388
30000.000,13.484,393489.000,-89.398
32000.000,13.474,369184.000,-89.382
33300.000,13.467,354941.000,-89.373
40000.000,13.438,296120.000,-89.326
48000.000,13.422,247064.000,-89.297
50000.000,13.418,237242.000,-89.290
60000.000,13.408,197863.000,-89.265
64000.000,13.399,185612.000,-89.255
66600.000,13.394,178436.000,-89.250
80000.000,13.371,148802.000,-89.235
96000.000,13.354,124154.000,-89.212
100000.000,13.351,119237.000,-89.197
120000.000,13.336,99506.700,-89.135
125000.000,13.327,95581.600,-89.131
150000.000,13.289,79880.500,-89.137
160000.000,13.274,74969.800,-89.101
166000.000,13.265,72304.800,-89.081
200000.000,13.228,60178.200,-88.956
240000.000,13.223,50170.000,-89.080
250000.000,13.223,48165.600,-89.107
300000.000,13.208,40182.400,-89.088
320000.000,13.186,37735.600,-89.105
333000.000,13.173,36299.000,-89.116
400000.000,13.120,30340.500,-89.200
480000.000,13.155,25216.700,-89.027
500000.000,13.163,24193.400,-88.996
600000.000,13.152,20178.700,-88.961
640000.000,13.152,18918.400,-88.953
666000.000,13.151,18180.800,-88.943
800000.000,13.155,15134.700,-88.909
960000.000,13.178,12593.600,-88.854
1000000.000,13.200,12070.800,-88.878
#,#,#,#
