Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,18.715,8500720.000,-88.110
1200.000,18.455,7183410.000,-88.350
1250.000,18.307,6952190.000,-88.088
1500.000,17.569,6036680.000,-88.141
1600.000,17.773,5595690.000,-88.507
1660.000,17.884,5360450.000,-88.683
2000.000,18.412,4322070.000,-89.243
2400.000,18.471,3589640.000,-89.061
2500.000,18.494,3442100.000,-89.064
3000.000,18.474,2871500.000,-89.200
3200.000,18.491,2689820.000,-89.143
3330.000,18.501,2583000.000,-89.121
4000.000,18.546,2145380.000,-89.106
4800.000,18.419,1799810.000,-89.182
5000.000,18.396,1730340.000,-89.270
6000.000,18.357,1444970.000,-89.255
6400.000,18.336,1356250.000,-89.242
6660.000,18.322,1304280.000,-89.233
8000.000,18.266,1089130.000,-89.195
9600.000,18.312,905321.000,-89.246
10000.000,18.322,868697.000,-89.248
12000.000,18.209,728358.000,-89.228
12500.000,18.221,698793.000,-89.228
15000.000,18.261,581038.000,-89.221
16000.000,18.252,544993.000,-89.214
16600.000,18.246,525474.000,-89.213
20000.000,18.218,436800.000,-89.195
24000.000,18.181,364738.000,-89.165
25000.000,18.174,350296.000,-89.156
30000.000,18.163,292082.000,-89.162
32000.000,18.147,274060.000,-89.152
33300.000,18.138,263501.000,-89.145
40000.000,18.095,219887.000,-89.109
48000.000,18.064,183541.000,-89.086
50000.000,18.058,176269.000,-89.080
60000.000,18.033,147088.000,-89.060
64000.000,18.020,137995.000,-89.053
66600.000,18.012,132668.000,-89.048
80000.000,17.974,110678.000,-89.035
96000.000,17.941,92399.000,-89.012
100000.000,17.935,88732.900,-89.004
120000.000,17.907,74059.300,-88.956
125000.000,17.895,71144.800,-88.953
150000.000,17.842,59461.600,-88.955
160000.000,17.823,55806.600,-88.929
166000.000,17.812,53821.500,-88.913
200000.000,17.762,44795.900,-88.818
240000.000,17.744,37370.200,-88.909
250000.000,17.740,35883.400,-88.927
300000.000,17.712,29949.400,-88.915
320000.000,17.686,28119.000,-88.927
333000.000,17.671,27045.200,-88.934
400000.000,17.606,22596.700,-88.996
480000.000,17.632,18802.700,-88.861
500000.000,17.638,18044.400,-88.838
600000.000,17.621,15051.300,-88.808
640000.000,17.619,14112.000,-88.799
666000.000,17.618,13561.800,-88.791
800000.000,17.619,11289.500,-88.757
960000.000,17.645,9393.540,-88.702
1000000.000,17.669,9005.810,-88.717
#,#,#,#
