Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.504,9634260.000,-87.632
1200.000,16.243,8156840.000,-87.937
1250.000,16.096,7903980.000,-87.664
1500.000,15.357,6903150.000,-87.751
1600.000,15.559,6388990.000,-88.186
1660.000,15.674,6114600.000,-88.412
2000.000,16.202,4911370.000,-89.095
2400.000,16.285,4073650.000,-88.912
2500.000,16.288,3907440.000,-88.926
3000.000,16.271,3259630.000,-89.118
3200.000,16.290,3052450.000,-89.067
3330.000,16.303,2931440.000,-89.048
4000.000,16.352,2432970.000,-89.059
4800.000,16.233,2042350.000,-89.170
5000.000,16.209,1963620.000,-89.271
6000.000,16.177,1639640.000,-89.271
6400.000,16.157,1539060.000,-89.267
6660.000,16.145,1480110.000,-89.260
8000.000,16.094,1235960.000,-89.229
9600.000,16.150,1026550.000,-89.297
10000.000,16.160,984839.000,-89.313
12000.000,16.054,826077.000,-89.303
12500.000,16.066,792418.000,-89.306
15000.000,16.114,658383.000,-89.309
16000.000,16.107,617510.000,-89.304
16600.000,16.103,595356.000,-89.303
20000.000,16.083,494770.000,-89.292
24000.000,16.054,413031.000,-89.266
25000.000,16.048,396675.000,-89.258
30000.000,16.045,330626.000,-89.272
32000.000,16.032,310205.000,-89.262
33300.000,16.024,298238.000,-89.255
40000.000,15.989,248826.000,-89.221
48000.000,15.967,207640.000,-89.199
50000.000,15.962,199400.000,-89.194
60000.000,15.945,166345.000,-89.176
64000.000,15.935,156046.000,-89.169
66600.000,15.928,150013.000,-89.165
80000.000,15.899,125115.000,-89.155
96000.000,15.876,104414.000,-89.139
100000.000,15.872,100264.000,-89.126
120000.000,15.851,83661.400,-89.074
125000.000,15.841,80369.100,-89.072
150000.000,15.796,67164.100,-89.078
160000.000,15.780,63032.000,-89.050
166000.000,15.771,60787.800,-89.032
200000.000,15.728,50589.600,-88.928
240000.000,15.718,42185.100,-89.033
250000.000,15.717,40501.300,-89.055
300000.000,15.697,33795.300,-89.042
320000.000,15.673,31731.400,-89.056
333000.000,15.659,30520.000,-89.065
400000.000,15.602,25501.700,-89.139
480000.000,15.634,21205.800,-88.994
500000.000,15.641,20348.100,-88.969
600000.000,15.629,16970.200,-88.942
640000.000,15.629,15909.600,-88.936
666000.000,15.629,15288.600,-88.931
800000.000,15.634,12723.600,-88.905
960000.000,15.661,10584.300,-88.865
1000000.000,15.685,10145.800,-88.885
#,#,#,#
