Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,252.644,713.645,-0.065
1200.000,217.535,713.908,-0.066
1250.000,208.654,714.810,-0.068
1500.000,182.843,714.309,-0.069
1600.000,172.218,715.317,-0.071
1660.000,166.090,714.920,-0.071
2000.000,145.031,713.881,-0.071
2400.000,122.998,714.239,-0.074
2500.000,117.813,714.535,-0.075
3000.000,104.455,714.189,-0.079
3200.000,99.233,714.356,-0.080
3330.000,95.255,714.114,-0.079
4000.000,82.129,714.878,-0.084
4800.000,72.674,714.303,-0.088
5000.000,68.623,714.178,-0.089
6000.000,59.702,714.885,-0.093
6400.000,56.749,715.001,-0.094
6660.000,56.550,714.214,-0.097
8000.000,48.262,714.166,-0.101
9600.000,43.309,713.644,-0.107
10000.000,42.256,714.221,-0.108
12000.000,37.629,714.308,-0.115
12500.000,36.064,714.066,-0.116
15000.000,32.032,714.011,-0.124
16000.000,30.842,713.988,-0.127
16600.000,30.422,713.117,-0.128
20000.000,27.088,712.890,-0.138
24000.000,24.156,712.933,-0.148
25000.000,23.546,713.176,-0.152
30000.000,21.290,714.740,-0.165
32000.000,20.675,715.263,-0.172
33300.000,20.280,714.302,-0.174
40000.000,18.549,714.348,-0.191
48000.000,17.017,714.660,-0.213
50000.000,16.675,713.393,-0.215
60000.000,15.398,713.214,-0.238
64000.000,14.953,711.893,-0.245
66600.000,14.741,713.796,-0.254
80000.000,13.708,712.364,-0.282
96000.000,12.873,713.403,-0.322
100000.000,12.685,713.376,-0.330
120000.000,12.018,713.374,-0.374
125000.000,11.850,714.203,-0.387
150000.000,11.267,713.465,-0.440
160000.000,11.110,714.086,-0.464
166000.000,11.033,712.791,-0.474
200000.000,10.564,712.699,-0.547
240000.000,10.181,712.626,-0.635
250000.000,10.091,712.126,-0.656
300000.000,9.810,709.625,-0.756
320000.000,9.676,710.901,-0.802
333000.000,9.610,710.804,-0.829
400000.000,9.301,709.070,-0.961
480000.000,9.133,709.299,-1.135
500000.000,9.089,709.403,-1.179
600000.000,8.847,707.125,-1.373
640000.000,8.815,706.329,-1.450
666000.000,8.770,705.789,-1.501
800000.000,8.575,704.640,-1.765
960000.000,8.377,700.979,-2.061
1000000.000,8.373,699.288,-2.129
#,#,#,#
