Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.699,9527550.000,-88.093
1200.000,16.443,8059240.000,-88.357
1250.000,16.298,7806460.000,-88.075
1500.000,15.567,6811720.000,-88.144
1600.000,15.773,6304520.000,-88.549
1660.000,15.889,6034330.000,-88.760
2000.000,16.424,4845540.000,-89.380
2400.000,16.507,4017020.000,-89.173
2500.000,16.517,3854610.000,-89.179
3000.000,16.503,3214540.000,-89.335
3200.000,16.522,3009940.000,-89.273
3330.000,16.535,2890370.000,-89.251
4000.000,16.588,2398540.000,-89.240
4800.000,16.472,2013220.000,-89.322
5000.000,16.448,1935150.000,-89.422
6000.000,16.417,1615650.000,-89.404
6400.000,16.399,1516480.000,-89.392
6660.000,16.387,1458300.000,-89.383
8000.000,16.338,1217580.000,-89.335
9600.000,16.396,1011220.000,-89.390
10000.000,16.405,970134.000,-89.402
12000.000,16.301,813607.000,-89.382
12500.000,16.314,780457.000,-89.383
15000.000,16.362,648460.000,-89.376
16000.000,16.356,608169.000,-89.369
16600.000,16.352,586333.000,-89.366
20000.000,16.332,487243.000,-89.348
24000.000,16.304,406719.000,-89.316
25000.000,16.298,390606.000,-89.308
30000.000,16.296,325556.000,-89.316
32000.000,16.283,305443.000,-89.304
33300.000,16.276,293658.000,-89.297
40000.000,16.241,244993.000,-89.259
48000.000,16.219,204430.000,-89.234
50000.000,16.214,196316.000,-89.229
60000.000,16.197,163766.000,-89.208
64000.000,16.187,153623.000,-89.201
66600.000,16.181,147683.000,-89.196
80000.000,16.152,123169.000,-89.184
96000.000,16.128,102781.000,-89.165
100000.000,16.125,98698.300,-89.152
120000.000,16.104,82354.600,-89.099
125000.000,16.094,79109.200,-89.097
150000.000,16.050,66107.100,-89.101
160000.000,16.033,62038.100,-89.072
166000.000,16.024,59830.300,-89.055
200000.000,15.981,49787.000,-88.952
240000.000,15.972,41516.900,-89.053
250000.000,15.970,39860.900,-89.075
300000.000,15.950,33259.300,-89.059
320000.000,15.927,31227.000,-89.071
333000.000,15.912,30034.800,-89.082
400000.000,15.857,25094.500,-89.150
480000.000,15.888,20869.000,-89.001
500000.000,15.895,20025.200,-88.975
600000.000,15.881,16702.100,-88.943
640000.000,15.880,15658.800,-88.935
666000.000,15.880,15048.000,-88.928
800000.000,15.881,12525.500,-88.895
960000.000,15.904,10422.400,-88.843
1000000.000,15.926,9991.490,-88.860
#,#,#,#
