Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,128.056,1200.730,-0.054
1200.000,109.971,1200.620,-0.058
1250.000,106.941,1200.540,-0.059
1500.000,94.775,1200.660,-0.062
1600.000,90.601,1200.620,-0.063
1660.000,89.208,1200.410,-0.065
2000.000,78.567,1200.660,-0.069
2400.000,69.106,1200.170,-0.072
2500.000,67.077,1199.880,-0.073
3000.000,59.440,1199.820,-0.078
3200.000,57.033,1199.950,-0.079
3330.000,55.661,1200.060,-0.080
4000.000,49.362,1199.530,-0.086
4800.000,44.161,1199.710,-0.092
5000.000,42.942,1199.720,-0.093
6000.000,38.500,1199.520,-0.100
6400.000,37.170,1199.310,-0.103
6660.000,36.249,1199.200,-0.105
8000.000,32.823,1199.210,-0.114
9600.000,30.102,1198.930,-0.125
10000.000,29.523,1198.580,-0.128
12000.000,27.224,1198.590,-0.142
12500.000,26.773,1198.770,-0.145
15000.000,24.869,1198.250,-0.161
16000.000,24.207,1198.330,-0.167
16600.000,23.924,1198.120,-0.171
20000.000,22.402,1198.090,-0.193
24000.000,21.086,1197.610,-0.218
25000.000,20.791,1197.630,-0.225
30000.000,19.771,1197.360,-0.256
32000.000,19.441,1197.500,-0.268
33300.000,19.235,1197.320,-0.276
40000.000,18.363,1197.120,-0.317
48000.000,17.634,1196.990,-0.365
50000.000,17.491,1196.820,-0.377
60000.000,16.876,1196.850,-0.437
64000.000,16.678,1196.580,-0.460
66600.000,16.549,1196.700,-0.476
80000.000,16.067,1196.290,-0.554
96000.000,15.648,1196.200,-0.647
100000.000,15.560,1196.460,-0.671
120000.000,15.216,1195.920,-0.786
125000.000,15.144,1195.710,-0.815
150000.000,14.823,1195.320,-0.957
160000.000,14.716,1194.650,-1.013
166000.000,14.659,1194.790,-1.047
200000.000,14.398,1194.120,-1.238
240000.000,14.198,1193.420,-1.464
250000.000,14.154,1193.040,-1.520
300000.000,13.972,1191.830,-1.799
320000.000,13.893,1191.360,-1.907
333000.000,13.850,1191.150,-1.978
400000.000,13.651,1188.970,-2.337
480000.000,13.553,1186.480,-2.780
500000.000,13.532,1185.870,-2.889
600000.000,13.394,1182.550,-3.424
640000.000,13.352,1181.070,-3.636
666000.000,13.327,1179.970,-3.773
800000.000,13.208,1174.630,-4.473
960000.000,13.112,1166.920,-5.295
1000000.000,13.109,1165.300,-5.508
#,#,#,#
