Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.133,10510500.000,-88.311
1200.000,14.894,8902540.000,-88.587
1250.000,14.752,8625970.000,-88.273
1500.000,14.031,7560610.000,-88.333
1600.000,14.237,6985820.000,-88.785
1660.000,14.357,6677700.000,-89.010
2000.000,14.900,5341360.000,-89.665
2400.000,14.980,4427820.000,-89.472
2500.000,15.003,4243190.000,-89.421
3000.000,15.000,3537040.000,-89.586
3200.000,15.023,3310820.000,-89.513
3330.000,15.038,3178540.000,-89.483
4000.000,15.099,2635270.000,-89.451
4800.000,14.990,2212440.000,-89.537
5000.000,14.969,2126790.000,-89.638
6000.000,14.946,1774990.000,-89.610
6400.000,14.929,1665890.000,-89.593
6660.000,14.919,1601960.000,-89.581
8000.000,14.879,1337430.000,-89.521
9600.000,14.941,1109710.000,-89.567
10000.000,14.953,1064550.000,-89.577
12000.000,14.856,892934.000,-89.548
12500.000,14.869,856400.000,-89.546
15000.000,14.924,711040.000,-89.530
16000.000,14.920,666788.000,-89.520
16600.000,14.917,642839.000,-89.516
20000.000,14.903,534040.000,-89.488
24000.000,14.881,445706.000,-89.443
25000.000,14.876,428018.000,-89.435
30000.000,14.878,356617.000,-89.439
32000.000,14.868,334569.000,-89.423
33300.000,14.861,321651.000,-89.413
40000.000,14.832,268306.000,-89.367
48000.000,14.815,223847.000,-89.336
50000.000,14.811,214949.000,-89.329
60000.000,14.799,179268.000,-89.301
64000.000,14.790,168163.000,-89.290
66600.000,14.785,161657.000,-89.285
80000.000,14.761,134799.000,-89.267
96000.000,14.743,112466.000,-89.239
100000.000,14.739,107995.000,-89.228
120000.000,14.723,90098.200,-89.168
125000.000,14.713,86547.900,-89.164
150000.000,14.673,72321.000,-89.165
160000.000,14.658,67870.900,-89.133
166000.000,14.649,65454.400,-89.113
200000.000,14.610,54466.700,-89.002
240000.000,14.605,45411.300,-89.108
250000.000,14.604,43598.100,-89.130
300000.000,14.587,36372.800,-89.111
320000.000,14.565,34152.500,-89.124
333000.000,14.551,32849.700,-89.134
400000.000,14.497,27450.200,-89.208
480000.000,14.532,22819.500,-89.048
500000.000,14.539,21895.100,-89.020
600000.000,14.528,18260.000,-88.985
640000.000,14.527,17118.700,-88.977
666000.000,14.527,16450.900,-88.969
800000.000,14.530,13691.500,-88.932
960000.000,14.552,11390.900,-88.875
1000000.000,14.574,10919.100,-88.892
#,#,#,#
