Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.682,8997050.000,-88.133
1200.000,17.424,7608830.000,-88.370
1250.000,17.282,7364140.000,-88.097
1500.000,16.542,6410940.000,-88.147
1600.000,16.747,5939030.000,-88.532
1660.000,16.858,5684850.000,-88.720
2000.000,17.392,4575400.000,-89.302
2400.000,17.462,3799290.000,-89.119
2500.000,17.479,3642040.000,-89.109
3000.000,17.461,3038200.000,-89.249
3200.000,17.481,2845330.000,-89.194
3330.000,17.492,2732540.000,-89.169
4000.000,17.538,2268700.000,-89.156
4800.000,17.418,1903650.000,-89.222
5000.000,17.393,1830070.000,-89.324
6000.000,17.357,1528210.000,-89.304
6400.000,17.337,1434430.000,-89.292
6660.000,17.324,1379410.000,-89.284
8000.000,17.270,1151880.000,-89.237
9600.000,17.322,957031.000,-89.288
10000.000,17.330,918360.000,-89.299
12000.000,17.221,770115.000,-89.276
12500.000,17.233,738838.000,-89.277
15000.000,17.276,614146.000,-89.268
16000.000,17.268,576031.000,-89.262
16600.000,17.263,555379.000,-89.259
20000.000,17.238,461629.000,-89.242
24000.000,17.206,385432.000,-89.207
25000.000,17.198,370169.000,-89.201
30000.000,17.190,308606.000,-89.207
32000.000,17.176,289556.000,-89.196
33300.000,17.167,278400.000,-89.189
40000.000,17.127,232307.000,-89.151
48000.000,17.101,193890.000,-89.127
50000.000,17.094,186203.000,-89.121
60000.000,17.073,155366.000,-89.100
64000.000,17.061,145757.000,-89.092
66600.000,17.053,140126.000,-89.087
80000.000,17.018,116892.000,-89.073
96000.000,16.990,97567.800,-89.055
100000.000,16.985,93694.000,-89.041
120000.000,16.959,78200.900,-88.991
125000.000,16.947,75122.600,-88.988
150000.000,16.898,62785.400,-88.990
160000.000,16.879,58925.600,-88.963
166000.000,16.869,56830.200,-88.946
200000.000,16.822,47297.800,-88.849
240000.000,16.806,39453.600,-88.943
250000.000,16.803,37882.100,-88.962
300000.000,16.778,31615.800,-88.946
320000.000,16.753,29685.200,-88.962
333000.000,16.738,28551.900,-88.970
400000.000,16.677,23856.800,-89.034
480000.000,16.704,19847.300,-88.893
500000.000,16.710,19046.300,-88.868
600000.000,16.695,15887.100,-88.839
640000.000,16.693,14895.600,-88.829
666000.000,16.693,14314.800,-88.822
800000.000,16.694,11917.300,-88.784
960000.000,16.721,9916.320,-88.730
1000000.000,16.744,9506.690,-88.745
#,#,#,#
