Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,33.625,3768140.000,-52.645
1200.000,32.497,3364720.000,-55.417
1250.000,32.166,3278820.000,-55.823
1500.000,30.611,2938260.000,-57.859
1600.000,30.530,2796930.000,-59.038
1660.000,30.477,2718040.000,-59.684
2000.000,30.217,2340910.000,-62.652
2400.000,29.546,2029390.000,-64.594
2500.000,29.386,1964530.000,-65.007
3000.000,28.647,1702830.000,-66.772
3200.000,28.411,1615780.000,-67.304
3330.000,28.267,1564090.000,-67.627
4000.000,27.616,1346280.000,-69.066
4800.000,26.813,1164610.000,-70.282
5000.000,26.639,1127390.000,-70.582
6000.000,25.948,970672.000,-71.642
6400.000,25.700,920623.000,-71.986
6660.000,25.547,890965.000,-72.187
8000.000,24.868,765718.000,-73.075
9600.000,24.318,655703.000,-74.014
10000.000,24.195,633251.000,-74.214
12000.000,23.519,544759.000,-74.951
12500.000,23.409,525916.000,-75.139
15000.000,22.924,449169.000,-75.937
16000.000,22.736,425042.000,-76.195
16600.000,22.631,411842.000,-76.344
20000.000,22.118,350813.000,-77.073
24000.000,21.642,299572.000,-77.751
25000.000,21.539,289113.000,-77.900
30000.000,21.129,246223.000,-78.604
32000.000,20.978,232657.000,-78.831
33300.000,20.887,224648.000,-78.971
40000.000,20.494,191006.000,-79.600
48000.000,20.146,162232.000,-80.218
50000.000,20.072,156380.000,-80.353
60000.000,19.765,132571.000,-80.945
64000.000,19.658,125030.000,-81.146
66600.000,19.593,120587.000,-81.268
80000.000,19.311,101999.000,-81.818
96000.000,19.059,86231.100,-82.328
100000.000,19.006,83030.100,-82.435
120000.000,18.782,70084.700,-82.883
125000.000,18.728,67488.200,-82.985
150000.000,18.502,56982.400,-83.436
160000.000,18.425,53658.400,-83.563
166000.000,18.382,51846.400,-83.633
200000.000,18.180,43537.100,-83.956
240000.000,18.025,36622.500,-84.423
250000.000,17.994,35226.200,-84.523
300000.000,17.845,29615.900,-84.857
320000.000,17.779,27873.700,-84.981
333000.000,17.739,26848.200,-85.057
400000.000,17.569,22576.100,-85.416
480000.000,17.500,18893.100,-85.577
500000.000,17.485,18153.400,-85.617
600000.000,17.383,15221.600,-85.844
640000.000,17.352,14296.300,-85.923
666000.000,17.335,13748.200,-85.951
800000.000,17.261,11491.900,-86.130
960000.000,17.220,9601.200,-86.296
1000000.000,17.229,9213.200,-86.361
#,#,#,#
